	Unnamed: 0	bin_id	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
0	0	0	229978	724911	3833	2466	2614	2683	2478	2113	2076	2119	1792	1592	1637	1484	1375	1255	1159	1108	1096	1071	1214	1037	1034	1026	1132	1020	964	952	965	971	884	958	873	881	888	1120	1093	4051	3862	1981	957	876	993	927	902	621	722	662	753	895	856	923	903	537	499	509	716	479	583	407	359	528	412	382	559	409	371	377	372	347	382	417	503	331	350	350	331	260	341	305	313	400	359	235	263	255	247	170	161	147	161	148	144	111	122	94	78	73	36	13	9
0	0	1	133874	661243	1065274	5706	1424	1083	1033	964	777	806	606	613	720	604	588	519	551	524	431	544	497	499	447	424	499	464	436	386	353	443	336	324	268	288	457	1139	1131	2251	2001	956	365	484	508	457	410	383	391	341	703	554	578	543	1008	214	236	226	484	195	334	234	165	307	213	175	244	183	176	182	146	149	190	256	325	183	188	151	179	132	161	162	160	310	280	133	203	150	166	181	112	137	222	178	103	63	80	56	47	42	28	39	41
0	0	2	78654	289758	1152388	898530	6824	1510	871	562	434	672	502	444	416	281	370	242	226	234	283	430	325	241	259	226	329	250	248	252	187	241	227	217	176	160	515	1991	2340	1025	935	437	192	466	361	232	235	360	279	214	2713	1363	404	373	553	151	172	224	333	108	206	133	79	234	119	102	193	95	119	82	98	83	115	148	244	96	99	81	96	96	120	103	72	185	183	59	172	152	110	111	50	183	206	43	56	70	71	44	73	41	30	31	44
0	0	3	71352	230083	724073	1461863	953562	12734	1514	900	540	706	464	355	348	350	493	283	386	328	295	362	389	324	414	356	520	326	264	296	191	200	267	220	188	198	763	2956	3129	1039	977	511	290	1193	360	232	237	327	210	185	4863	2454	386	308	403	148	171	272	367	101	191	144	97	235	123	154	256	158	81	111	155	337	143	228	213	111	122	79	173	104	145	119	112	218	262	101	250	214	165	129	85	223	431	59	68	123	111	52	72	66	65	45	47
0	0	4	59977	181518	509893	933669	1669952	870031	15015	1223	894	1105	586	459	415	371	515	254	307	341	271	414	323	246	300	226	559	186	190	411	222	202	213	197	170	242	856	3469	3846	979	891	468	232	1378	394	208	177	453	161	225	5712	3020	291	302	264	121	265	224	383	103	187	106	82	325	157	116	288	124	120	82	150	559	289	176	184	67	82	44	154	56	103	82	70	169	227	49	228	141	129	109	62	225	435	62	70	456	94	59	130	73	70	22	68
0	0	5	49163	140231	381484	660274	1125287	1640809	696778	21449	1283	1596	681	589	439	406	547	357	446	584	467	523	499	388	546	564	826	359	392	647	439	392	501	483	383	465	1081	3741	3916	1186	988	732	438	1407	609	348	366	744	376	468	6034	2512	470	528	445	291	418	341	553	302	426	302	260	529	382	319	532	341	320	248	329	742	455	299	329	200	200	160	220	157	218	179	167	269	348	154	344	219	275	167	103	339	486	130	139	827	120	66	162	78	67	36	91
0	0	6	45428	124724	322913	549112	891427	1330970	1613439	696431	18514	2320	1051	818	664	660	598	364	504	318	315	403	420	307	299	318	765	267	234	548	245	198	321	333	175	291	904	3645	3913	1271	837	528	294	1337	368	207	195	606	318	495	6817	3172	243	436	273	129	237	176	326	111	221	110	108	239	165	117	477	151	130	113	181	655	362	213	233	121	129	58	126	119	124	88	128	262	280	115	300	253	316	189	104	435	497	141	207	779	147	85	155	107	54	53	100
0	0	7	43953	115398	289290	478395	743870	1081588	1398494	1718995	709416	27803	1651	822	757	738	719	482	761	489	393	453	482	294	406	402	917	309	295	624	289	221	379	427	197	344	1406	6125	6471	1477	1010	636	472	1407	347	170	202	716	900	1053	7485	3655	344	533	231	96	231	152	343	143	226	137	74	175	150	136	510	145	139	81	228	646	531	179	367	90	91	60	86	54	127	108	135	242	269	131	329	264	386	205	164	394	661	155	354	883	179	73	211	130	81	108	95
0	0	8	44691	108270	257168	414737	618421	870803	1097265	1467119	1790885	672909	29015	2164	1051	915	877	640	955	552	591	656	677	494	581	490	1010	326	335	639	350	213	361	461	291	750	1723	7285	7902	1727	1268	763	448	1409	334	199	215	752	958	2023	8716	3814	571	672	244	112	194	160	339	152	337	167	113	211	154	164	574	205	145	91	240	705	820	194	368	106	101	52	97	98	179	122	134	300	315	94	402	323	403	229	171	424	677	211	432	961	186	182	188	150	90	137	108
0	0	9	42678	99862	232878	369095	531976	731403	890765	1168519	1608930	1769755	607125	29263	2280	1113	1016	737	1037	582	607	553	742	494	489	540	1229	428	409	1182	515	235	361	642	373	1006	1569	6685	7265	1641	1190	690	469	1455	335	208	278	767	874	2720	9628	4245	530	987	269	118	229	193	455	241	403	202	156	262	262	195	610	227	135	87	285	670	1121	234	366	127	110	78	88	123	189	128	167	340	305	116	495	491	412	269	220	495	757	215	507	1009	217	226	264	242	112	224	110
