	doc_id	doi	corpus_id	title	abstract	label	venue
0	51922162	10.1016/J.JBIOMECH.2018.06.016	51922162	Rupture limit evaluation of human cerebral aneurysms wall: Experimental study.	"BACKGROUND AND PURPOSE
Rupture risk of intracranial aneurysms is a major issue for public healthcare. A way to obtain an individual rupture risk assessment is a main objective of many research teams in the world. For many years, we have investigated the relationship between the mechanical properties of aneurysm wall tissues and the rupture risk. In this work, we try to go further and investigate rupture limit values.


METHODS
Following surgical clipping, a specific conservation protocol was applied to aneurysmal tissues in order to preserve their mechanical properties. Thirty-nine intracranial aneurysms (27 females, 12 males) were tested using a uniaxial tensile test machine under physiological conditions, temperature, and saline isotonic solution. These represented 24 unruptured and 15 ruptured aneurysms. Stress/strain curves were then obtained for each sample, and a fitting algorithm was applied following a Yeoh hyperelastic model with 2 parameters. Moreover, uniaxial tensile tests were conducted until rupture of samples to obtain values of stress and strain rupture limit.


RESULTS
The significant parameter a C2 of the hyperelastic Yeoh model, allowed us to classify samples' rigidity following the terminology we adopted in previous papers (Costalat et al., 2011; Sanchez et al., 2013): Soft, Stiff and Intermediate. Moreover, strain/stress rupture limit values were gathered and analyzed thanks to the tissue rigidity, the status of the aneurysm (initially ruptured or unruptured) and the gender of the patient.


CONCLUSION
Strain rupture limit was found quite stable around 20% and seems not to be correlated with the status of the aneurysm (initially ruptured or unruptured), neither with the gender of the patient. However, stretch and stress rupture limit seems not to be independent on the rigidity. The study confirms that ruptured aneurysms mainly present a soft tissue and unruptured aneurysms present a stiff material."	0	Journal of biomechanics
1	35178716	10.2108/ZSJ.26.632	35178716	Functional Changes with Feeding in the Gastro-Intestinal Epithelia of the Burmese Python (Python molurus)	The morphology of the digestive system in fasting and refed Burmese pythons was determined, as well as the localization of the proton (H+, K+-ATPase) and sodium (Na+, K+-ATPase) pumps. In fasting pythons, oxyntopeptic cells located within the fundic glands are typically non-active, with a thick apical tubulovesicular system and numerous zymogen granules. They become active immediately after feeding but return to a non-active state 3 days after the ingestion of the prey. The proton pump, expressed throughout the different fasting/feeding states, is either sequestered in the tubulovesicular system in non-active cells or located along the apical digitations extending within the crypt lumen in active cells. The sodium pump is rapidly upregulated in fed animals and is classically located along the baso-lateral membranes of the gastric oxyntopeptic cells. In the intestine, it is only expressed along the lateral membranes of the enterocytes, i.e., above the lateral spaces and not along the basal side of the cells. Thus, solute transport within the intestinal lining is mainly achieved through the apical part of the cells and across the lateral spaces while absorbed fat massively crosses the entire height of the cells and flows into the intercellular spaces. Therefore, in the Burmese python, the gastrointestinal cellular system quickly upregulates after feeding, due to inexpensive cellular changes, passive mechanisms, and the progressive activation and synthesis of key enzymes such as the sodium pump. This cell plasticity also allows anticipation of the next fasting and feeding periods.	1	Zoological Science
2	233427004	10.1016/J.JBIOMECH.2021.110413	233427004	The effects of a simple optical clearing protocol on the mechanics of collagenous soft tissue.	Optical clearing of biological tissues improves imaging depth for light transmission imaging modalities such as two-photon microscopy. In studies that investigate the interplay between microstructure and tissue-level mechanics, mechanical testing of cleared tissue may be useful. However, the effects of optical clearing on soft tissue mechanics have not been investigated. Thus, we set out to quantify the effects of a simple and effective optical clearing protocol on the mechanics of soft collagenous tissues using ovine mitral valve anterior leaflets as a model system. First, we demonstrate the effectiveness of an isotonic glycerol-DMSO optical clearing protocol in two-photon microscopy. Second, we evaluate the mechanical effects of optical clearing on leaflets under equibiaxial tension in a dependent study design. Lastly, we quantify the shrinkage strain while traction-free and the contractile forces while constrained during clearing. We found the optical clearing protocol to improve two-photon imaging depth from ~100 μm to ~500-800 μm, enabling full-thickness visualization of second-harmonic generation, autofluorescent, and fluorophore-tagged structures. Under equibiaxial tension, cleared tissues exhibited reduced circumferential (p < 0.001) and radial (p = 0.009) transition stretches (i.e. stretch where collagen is recruited), and reduced radial stiffness (p = 0.031). Finally, during clearing we observed ~10-15% circumferential and radial compressive strains, and when constrained, ~2mN of circumferential and radial traction forces. In summary, we suggest the use of this optical clearing agent with mechanical testing be done with care, as it appears to alter the tissue's stress-free configuration and stiffness, likely due to tissue dehydration.	0	Journal of biomechanics
3	10504033	10.1371/JOURNAL.PBIO.2001307	10504033	Increasing efficiency of preclinical research by group sequential designs	Despite the potential benefits of sequential designs, studies evaluating treatments or experimental manipulations in preclinical experimental biomedicine almost exclusively use classical block designs. Our aim with this article is to bring the existing methodology of group sequential designs to the attention of researchers in the preclinical field and to clearly illustrate its potential utility. Group sequential designs can offer higher efficiency than traditional methods and are increasingly used in clinical trials. Using simulation of data, we demonstrate that group sequential designs have the potential to improve the efficiency of experimental studies, even when sample sizes are very small, as is currently prevalent in preclinical experimental biomedicine. When simulating data with a large effect size of d = 1 and a sample size of n = 18 per group, sequential frequentist analysis consumes in the long run only around 80% of the planned number of experimental units. In larger trials (n = 36 per group), additional stopping rules for futility lead to the saving of resources of up to 30% compared to block designs. We argue that these savings should be invested to increase sample sizes and hence power, since the currently underpowered experiments in preclinical biomedicine are a major threat to the value and predictiveness in this research domain.	0	PLoS biology
4	5023268	10.1016/J.JBIOMECH.2018.04.014	5023268	Comparison of knee injury threshold during tibial compression based on limb orientation in mice.	"Our previous studies used tibial compression overload to induce anterior cruciate ligament (ACL) rupture in mice, while others have applied similar or greater compressive magnitudes without injury. The causes of these differences in injury threshold are not known. In this study, we compared knee injury thresholds using a ""prone configuration"" and a ""supine configuration"" that differed with respect to hip, knee, and ankle flexion, and utilized different fixtures to stabilize the knee. Right limbs of female and male C57BL/6 mice were loaded using the prone configuration, while left limbs were loaded using the supine configuration. Mice underwent progressive loading from 2 to 20 N, or cyclic loading at 9 N or 14 N (n = 9-11/sex/loading method). Progressive loading with the prone configuration resulted in ACL rupture at an average of 10.2 ± 0.9 N for females and 11.4 ± 0.7 N for males. In contrast, progressive loading with the supine configuration resulted in ACL rupture in only 36% of female mice and 50% of male mice. Cyclic loading with the prone configuration resulted in ACL rupture after 15 ± 8 cycles for females and 24 ± 27 cycles for males at 9 N, and always during the first cycle for both sexes at 14 N. In contrast, cyclic loading with the supine configuration was able to complete 1,200 cycles at 9 N without injury for both sexes, and an average of 45 ± 41 cycles for females and 49 ± 25 cycles for males at 14 N before ACL rupture. These results show that tibial compression configurations can strongly affect knee injury thresholds during loading."	0	Journal of biomechanics
5	206569520	10.1016/J.CELL.2018.07.019	206569520	Urea Cycle Dysregulation Generates Clinically Relevant Genomic and Biochemical Signatures	"The urea cycle (UC) is the main pathway by which mammals dispose of waste nitrogen. We find that specific alterations in the expression of most UC enzymes occur in many tumors, leading to a general metabolic hallmark termed ""UC dysregulation"" (UCD). UCD elicits nitrogen diversion toward carbamoyl-phosphate synthetase2, aspartate transcarbamylase, and dihydrooratase (CAD) activation and enhances pyrimidine synthesis, resulting in detectable changes in nitrogen metabolites in both patient tumors and their bio-fluids. The accompanying excess of pyrimidine versus purine nucleotides results in a genomic signature consisting of transversion mutations at the DNA, RNA, and protein levels. This mutational bias is associated with increased numbers of hydrophobic tumor antigens and a better response to immune checkpoint inhibitors independent of mutational load. Taken together, our findings demonstrate that UCD is a common feature of tumors that profoundly affects carcinogenesis, mutagenesis, and immunotherapy response."	0	Cell
6	13816521	10.1016/J.CELL.2018.03.081	13816521	Co-optation of Tandem DNA Repeats for the Maintenance of Mesenchymal Identity	Tandem repeats (TRs) are generated by DNA replication errors and retain a high level of instability, which in principle would make them unsuitable for integration into gene regulatory networks. However, the appearance of DNA sequence motifs recognized by transcription factors may turn TRs into functional cis-regulatory elements, thus favoring their stabilization in genomes. Here, we show that, in human cells, the transcriptional repressor ZEB1, which promotes the maintenance of mesenchymal features largely by suppressing epithelial genes and microRNAs, occupies TRs harboring dozens of copies of its DNA-binding motif within genomic loci relevant for maintenance of epithelial identity. The deletion of one such TR caused quasi-mesenchymal cancer cells to reacquire epithelial features, partially recapitulating the effects of ZEB1 gene deletion. These data demonstrate that the high density of identical motifs in TRs can make them suitable platforms for recruitment of transcriptional repressors, thus promoting their exaptation into pre-existing cis-regulatory networks.	0	Cell
7	219858134	10.1007/S00359-020-01432-8	219858134	Specializations in the compound eye of Talitrus saltator (Crustacea, Amphipoda)	We investigated the eye regionalization in Talitrus saltator by morphological, electrophysiological and behavioural experiments. Each ommatidium possesses five radially arranged retinular cells producing a square fused rhabdom by R1–R4 cells; the smaller R5 exists between R1 and R4. The size of R5 rhabdomere is larger in the dorsal part and becomes smaller in the median and ventral parts of the eye. Spectral-sensitivity by electroretinograms were recorded from dorsal or ventral parts of the eye. The dorsal part possesses maxima at green and UV-blue region. The main response region in the ventral part is only from UV (390 nm) to blue (430 nm) decreasing at longer wavelengths. To evaluate the sandhoppers’ celestial orientation, their eyes were painted black either in the dorsal or ventral part, under the natural sky or a blue filter with or without the vision of the sun. Sandhoppers with the dorsal region of the eyes painted and tested under the screened sun were more dispersed and their directions varied more than in other groups of individuals. Sandhoppers with this area of the eye obscured display considerable difficulties to head in a specific direction. This work suggests the existence of regional specializations in the eye of T. saltator.	0	Journal of Comparative Physiology A
8	22523216	10.1016/J.JSB.2009.11.008	22523216	Crystal structure and molecular modeling study of N-carbamoylsarcosine amidase Ta0454 from Thermoplasma acidophilum.	A crystal structure of the putative N-carbamoylsarcosine amidase (CSHase) Ta0454 from Thermoplasma acidophilum was solved by single-wavelength anomalous diffraction and refined at a resolution of 2.35A. CSHases are involved in the degradation of creatinine. Ta0454 shares a similar fold and a highly conserved C-D-K catalytic triad (Cys123, Asp9, and Lys90) with the structures of three cysteine hydrolases (PDB codes 1NBA, 1IM5, and 2H0R). Molecular dynamics (MD) simulations of Ta0454/N-carbamoylsarcosine and Ta0454/pyrazinamide complexes were performed to determine the structural basis of the substrate binding pattern for each ligand. Based on the MD-simulated trajectories, the MM/PBSA method predicts binding free energies of -24.5 and -17.1 kcal/mol for the two systems, respectively. The predicted binding free energies suggest that Ta0454 is selective for N-carbamoylsarcosine over pyrazinamide, and zinc ions play an important role in the favorable substrate bound states.	0	Journal of structural biology
9	3926966	10.1016/J.JSB.2016.06.020	3926966	New hardware and workflows for semi-automated correlative cryo-fluorescence and cryo-electron microscopy/tomography	Correlative light and electron microscopy allows features of interest defined by fluorescence signals to be located in an electron micrograph of the same sample. Rare dynamic events or specific objects can be identified, targeted and imaged by electron microscopy or tomography. To combine it with structural studies using cryo-electron microscopy or tomography, fluorescence microscopy must be performed while maintaining the specimen vitrified at liquid-nitrogen temperatures and in a dry environment during imaging and transfer. Here we present instrumentation, software and an experimental workflow that improves the ease of use, throughput and performance of correlated cryo-fluorescence and cryo-electron microscopy. The new cryo-stage incorporates a specially modified high-numerical aperture objective lens and provides a stable and clean imaging environment. It is combined with a transfer shuttle for contamination-free loading of the specimen. Optimized microscope control software allows automated acquisition of the entire specimen area by cryo-fluorescence microscopy. The software also facilitates direct transfer of the fluorescence image and associated coordinates to the cryo-electron microscope for subsequent fluorescence-guided automated imaging. Here we describe these technological developments and present a detailed workflow, which we applied for automated cryo-electron microscopy and tomography of various specimens.	0	Journal of structural biology
