	doc_id	corpus_id	title	abstract	venue	n_citations	log_citations
0	160107707	160107707	The That System of Seventeenth Century North Indian Ragas: a Preliminary Report on the Treatises of Kamilkhani	It would seem to be paradigmatic in the study of Indian classical music to say that one major difference between Karnatic music and its North Indian counterpart lies in their conception of the ragas and how they are classified. Beginning with Ramamatya's radical break with the past in the Swaramelakalanidhi (1550) the South Indian ragas were no longer to be organised according to the old method of parent ragas and jatis, but conceived according to their basic scalar material (te Nijenhuis 1977:20) Ramamatya's proposition of nineteen basic scales, or melas,2 led eventually to the development and enthusiastic adoption of a highly logical and practically based system of seventy two melakarta that account for all possible tonal permutations of the ragas. The North Indian ragas, however, were conceptualised until the twentieth century as a rather looser conglomeration of individual entities organised		2	0.6930000185966492
1	745350	745350	Unsupervised Domain Adaptation with Residual Transfer Networks	The recent success of deep neural networks relies on massive amounts of labeled data. For a target task where labeled data is unavailable, domain adaptation can transfer a learner from a different source domain. In this paper, we propose a new approach to domain adaptation in deep networks that can jointly learn adaptive classifiers and transferable features from labeled data in the source domain and unlabeled data in the target domain. We relax a shared classifier assumption made by previous methods and assume that the source classifier and target classifier differ by a residual function. We enable classifier adaptation by plugging several layers into deep network to explicitly learn the residual function with reference to the target classifier. We fuse features of multiple layers with tensor product and embed them into reproducing kernel Hilbert spaces to match distributions for feature adaptation. The adaptation can be achieved in most feed forward models by extending them with new residual layers and loss functions, which can be trained efficiently via back propagation. Empirical evidence shows that the new approach outperforms state of the art methods on standard domain adaptation benchmarks.	NIPS	840	6.732999801635742
2	206642768	206642768	Reproducibility in density functional theory calculations of solids	"A comparison of DFT methods Density functional theory (DFT) is now routinely used for simulating material properties. Many software packages are available, which makes it challenging to know which are the best to use for a specific calculation. Lejaeghere et al. compared the calculated values for the equation of states for 71 elemental crystals from 15 different widely used DFT codes employing 40 different potentials (see the Perspective by Skylaris) Although there were variations in the calculated values, most recent codes and methods converged toward a single value, with errors comparable to those of experiment. Science, this issue p. 10.1126/science.aad3000; see also p. 1394 A survey of recent density functional theory methods shows a convergence to more accurate property calculations. [Also see Perspective by Skylaris] INTRODUCTION The reproducibility of results is one of the underlying principles of science. An observation can only be accepted by the scientific community when it can be confirmed by independent studies. However, reproducibility does not come easily. Recent works have painfully exposed cases where previous conclusions were not upheld. The scrutiny of the scientific community has also turned to research involving computer programs, finding that reproducibility depends more strongly on implementation than commonly thought. These problems are especially relevant for property predictions of crystals and molecules, which hinge on precise computer implementations of the governing equation of quantum physics. RATIONALE This work focuses on density functional theory (DFT) a particularly popular quantum method for both academic and industrial applications. More than 15,000 DFT papers are published each year, and DFT is now increasingly used in an automated fashion to build large databases or apply multiscale techniques with limited human supervision. Therefore, the reproducibility of DFT results underlies the scientific credibility of a substantial fraction of current work in the natural and engineering sciences. A plethora of DFT computer codes are available, many of them differing considerably in their details of implementation, and each yielding a certain ""precision"" relative to other codes. How is one to decide for more than a few simple cases which code predicts the correct result, and which does not? We devised a procedure to assess the precision of DFT methods and used this to demonstrate reproducibility among many of the most widely used DFT codes. The essential part of this assessment is a pairwise comparison of a wide range of methods with respect to their predictions of the equations of state of the elemental crystals. This effort required the combined expertise of a large group of code developers and expert users. RESULTS We calculated equation of state data for four classes of DFT implementations, totaling 40 methods. Most codes agree very well, with pairwise differences that are comparable to those between different high precision experiments. Even in the case of pseudization approaches, which largely depend on the atomic potentials used, a similar precision can be obtained as when using the full potential. The remaining deviations are due to subtle effects, such as specific numerical implementations or the treatment of relativistic terms. CONCLUSION Our work demonstrates that the precision of DFT implementations can be determined, even in the absence of one absolute reference code. Although this was not the case 5 to 10 years ago, most of the commonly used codes and methods are now found to predict essentially identical results. The established precision of DFT codes not only ensures the reproducibility of DFT predictions but also puts several past and future developments on a firmer footing. Any newly developed methodology can now be tested against the benchmark to verify whether it reaches the same level of precision. New DFT applications can be shown to have used a sufficiently precise method. Moreover, high precision DFT calculations are essential for developing improvements to DFT methodology, such as new density functionals, which may further increase the predictive power of the simulations. Recent DFT methods yield reproducible results. Whereas older DFT implementations predict different values (red darts) codes have now evolved to mutual agreement (green darts) The scoreboard illustrates the good pairwise agreement of four classes of DFT implementations (horizontal direction) with all electron results (vertical direction) Each number reflects the average difference between the equations of state for a given pair of methods, with the green to red color scheme showing the range from the best to the poorest agreement. The widespread popularity of density functional theory has given rise to an extensive range of dedicated codes for predicting molecular and crystalline properties. However, each code implements the formalism in a different way, raising questions about the reproducibility of such predictions. We report the results of a community wide effort that compared 15 solid state codes, using 40 different potentials or basis set types, to assess the quality of the Perdew Burke Ernzerhof equations of state for 71 elemental crystals. We conclude that predictions from recent codes and pseudopotentials agree very well, with pairwise differences that are comparable to those between different high precision experiments. Older methods, however, have less precise agreement. Our benchmark provides a framework for users and developers to document the precision of new applications and methodological improvements."	Science	697	6.546999931335449
3	157095834	157095834	Labour Market Inclusion of International Protection Applicants and Beneficiaries	"IntroductionLabour market inclusion of international protection applicants and beneficiaries represents an important issue of migration and integration policies of various EU Member States.Strielkowski (2012) and Milaszewicz et al. (2015) show that immigrants often choose host countries according to the ability to absorb an additional labour supply that they constitute. As a result, certain EU Member States experience the influx of the large amount of immigrants that might potentially cause disturbances on their labour markets. The stakeholders and migration policy makers, as well as labour associations, trade unions and members of general society confront the constant dilemma of allowing migrants to enter their respective countries and facing consequences that might follow including social unrests, unease, the rise of populism and xenophobia. With regard to the above, there is no wonder that the recent Brexit campaign recently waging in the United Kingdom and shaking up the political and economic scenes prior to the referendum held on the 23rd of June 2016 was largely drawing from the fears of migration and ""flooding"" the UK labour market (Vasilopoulou, 2016) In fact, the ""Brexiteers"" used migration as their main card a week or two before the day of the referendum trying to tip the vote to their side. It is ironic that possible consequences of Brexit might turn this debate around. According to the Office of National Statistics (2011) in 2011 alone, 2.68 million people born in other EU countries resided in the United Kingdom. This number reached 3.03 million by 2014 (Office of National Statistics, 2014) In the same time, there might be from 1.2 to almost 3 million people born in the UK or having the UK passport who live and work in other EU countries (Parliament, 2016) What might follow would be naturalization of migrants on either sides or the massive exodus if all other measures and solutions fail to resolve the situation.A common concern about the phenomenon of international migration that might shape the policies and the public attitudes is the common perception that migrants come into a country without any contribution to society and that they might only take the advantage of the conditions local labour markets and welfare states offer.In order to measure levels of integration and labour market inclusion, ""Migrant Integration Policy Index"" (MIPEX) is often employed (Niessen et al. 2010) The MIPEX is a tool that allows measuring and comparing diverse levels of integration with regard to different migration policy areas such as labour market mobility, education and access to long term residence, among other things. With the data contained in this index, the impact of integration in the immigration surplus might be explained and then used to generate advices that might improve integration and thus enhance economic benefits for local economy.The rest of this paper is structured as follows: Section 1 describes the situation with the international protection in the Czech Republic. Section 2 discusses the Czech migration policy and provisions with regard to the international protection applicants and beneficiaries. Section 3 analyses the issues of ""immigration surplus"" and MIPEX for the particular case of the Czech Republic. Finally, Section 4 summarizes the main findings and provides brief conclusions and policy implications.1. International protection regimes in the Czech RepublicThe Czech Republic has never been a very popular country for international migrants (except for the Ukrainians, Vietnamese of the citizens of the neighbouring Poland and Slovakia) Moreover, the number of applications for international protection in the Czech Republic has never been high in comparison with the other EU countries.In 2015, foreign nationals filed 1525 applications for international protection in the Czech Republic. The asylum was granted to 71 people and 399 people were put under the supplementary procedure (permission to stay in the country for a period from 1 to 3 years)"		46	3.8289999961853027
4	5622986	5622986	Virulence factors of Candida species isolated from patients with urinary tract infection and obstructive uropathy	Objective: Fungal urinary tract infections due to Candida have increased significantly in recent years. Our research objective was to study Candida species in urine samples of patients with urinary tract infections (UTIs) associated with obstructive uropathy and to investigate the virulence factors of the isolated Candida. Methods: Patients were divided into two groups: Group I (cases) 50 patients with UTIs and obstructive uropathy. Group II (control) 50 patients with UTIs but with no functional or anatomical obstruction of their urinary tract. Clinical histories and physical examinations, together with laboratory investigations of urine samples were carried out in all patients in this study. Mid stream urine samples were examined microscopically and by fungal cell culture. The isolated Candida species were identified by analytical profile index (API) Candida Virulence factors were determined for the isolated Candida. The susceptibility to fluconazole was evaluated. Results: This study revealed an overall isolation rate of 27% of Candida species among all patient groups. The rate was 36% in cases, and 18% in controls, a difference found to be statistically significant (P<0.05) By API, C.albicans was detected in 44% of Candida species in cases, and in 33% in controls. While C.glabrata was detected in 28% of Candida species in cases, and in 22% in controls. C.tropicalis was detected in 17% of Candida species in cases, and in 22% in controls. Both C.krusei and C.kyfr were detected in 5.5% of Candida species in cases, and in 11% in controls. In terms of virulence factors the study showed that 11 out of 27 (40.5% of Candida isolates were biofilm positive by tube adherence. Phospholipase activity was demonstrated in 12 out of 27 (44.5% of Candida isolates. Secretory aspartic proteinase activity was demonstrated in 13 out of 27 (48% of the Candida isolates. Conclusion: Candida is an important cause of UTIs and obstructive uropathy is a major predisposing factor.	Pakistan journal of medical sciences	13	2.565000057220459
5	15780833	15780833	EPS Then and Now	"""Slime"" played a brief and spectacular role in the 19th century founded by the theory of primordial slime by Ernst Haeckel. However, that substance was never found and eventually abandoned. Further scientific attention slowly began in the 1930s referring to slime as a microbial product and then was inspired by ""How bacteria stick"" by Costerton et al. in 1978, and the matrix material was considered to be polysaccharides. Later, it turned out that proteins, nucleic acids and lipids were major other constituents of the extracellular polymeric substances (EPS) an acronym which was highly discussed. The role of the EPS matrix turns out to be fundamental for biofilms, in terms of keeping cells in proximity and allowing for extended interaction, resource capture, mechanical strength and other properties, which emerge from the life of biofilm organisms, including enhanced tolerance to antimicrobials and other stress. The EPS components are extremely complex and dynamic and fulfil many functional roles, turning biofilms into the most ubiquitous and successful form of life on Earth."	Microorganisms	128	4.8520002365112305
6	22161148	22161148	A Model level Mutation Tool to Support the Assessment of the Test Case Quality	Although mutation testing is a well known technique for assessing the quality of tests, there is not a lot of support available for model level mutation analysis. It is also considered to be expensive due to: (i) the large number of mutants generated; (ii) the time consuming activity of determining equivalent mutants; and (iii) the mutant execution time. It should also be remembered that real software artefacts of appropriate size including real faults are hard to find and prepare appropriately. In this paper we propose a mutation tool to generate valid First Order Mutants (FOM) for Conceptual Schemas (CS) based on UML Class Diagrams and evaluate its effectiveness and efficiency in generating valid and non equivalent mutants. Our main findings were: (1) FOM mutation operators can be automated to avoiding non valid mutants (49.1% (2) Fewer equivalent mutants were generated (7.2% and 74.3% were reduced by analysing the CS static structure in six subject CSs.	ISD	6	1.7920000553131104
7	6278554	6278554	Penis Allotransplantation in Beagle Dog	This is an original research of penis allotransplantation. The paper presents an experiment allogenic penis transplantation model in Beagles, with a focus on recovery of blood supply and changes in tissue architecture. Twenty adult Beagles were allocated to 10 pairs for penile transplantation. After operation, the skin and glans were observed. If adverse symptoms occurred, the transplanted penis was resected and pathologically examined. Frequency of urination, urinary stream, and patency level were recorded 7 days after transplantation. Cystourethrography was performed on Day 10. The transplanted penises were resected on Day 14 for pathological examination. The research showed that transplanted penises survived after allotransplantation, and the dogs regained urination ability. Penis autotransplantation in Beagles is feasible. This preliminary study shows a potential for application of this new procedure for penis transplantation in humans.	BioMed research international	15	2.7079999446868896
8	156644110	156644110	Factors influencing willingness to accept different waste management policies: empirical evidence from the European Union	"Abstract Improving waste management strategies with more collaborative participation and responsibility of different public and private agents is a matter of increasing concern for academia and policy makers. Based on data from 28 European countries, the present study, unlike other previous studies analyzing the influence of individual drivers for waste generation or recycling, evaluates different options for waste management: government based, ""fair"" consumer and producer responsibility. For this, the influence of individual and socio demographic characteristics (age, gender, education level and occupational status) contextual variables (rural or urban, country of origin) and the environmental awareness of 23,976 individuals are considered. Being a woman, being well educated, having a good job and living in a rural or small town increase the probability of being a fair consumer, while men and people living in a large town are more willing to entrust this responsibility to firms. The government based solution is only chosen by low educated people. Finally, individuals with the highest environmental awareness and effort prefer to pay, while those who are less environmentally conscious prefer government action. The findings show that factors explaining individual acceptance of these different waste management policies (WMP) are essential for implementing proactive and preventive approaches to enhance responsibility and involvement of all stakeholder groups (consumers, firms and institutions)"		43	3.760999917984009
9	55780594	55780594	Fiscal Policy and Debt Management with Incomplete Markets	A Ramsey planner chooses a distorting tax on labor and manages a portfolio of securities in an economy with incomplete markets. We develop a method that uses second order approximations of Ramsey policies to obtain formulas for conditional and unconditional moments of government debt and taxes that include means and variances of the invariant distribution as well as speeds of mean reversion. The asymptotic mean of the planner's portfolio minimizes a measure of fiscal risk. We obtain analytic expressions that approximate moments of the invariant distribution and apply them to data on a primary government deficit, aggregate consumption, and returns on traded securities. For U.S. data, we find that the optimal target debt level is negative but close to zero, the invariant distribution of debt is very dispersed, and mean reversion is slow.		58	4.059999942779541
