	doc_id	corpus_id	title	abstract	label_type	label	class
0	24470723	5409261	Epithelioid hemangioendothelioma in a child	Epithelioid hemangioendothelioma (EHE) is a rare tumour arising from the vascular endothelium of soft-tissue, bone and viscera. Skin involvement is rare. The disease has an indolent course, with the potential for recurrence and often associated with multi-systemic localisations. We present a rare case of cutaneous EHE without systemic involvement in 9-year-old boy. The tumour was completely excised and histopathologic diagnosis was consistent with EHE. Complete systemic assessment showed no internal localisation. Wide excision is the mainstay of therapy and regular follow-up is suggested due to the potential for recurrence. The majority of documented cases of EHE is in adults and has developed in association with an underlying systemic involvement. To the best of our knowledge, this is the second reported case of isolated cutaneous EHE in paediatric age group.	Labeled	clinical characteristics or disease pathology	0
1	12052256	1399765	Mutation analysis of the CHK2 gene in breast carcinoma and other cancers	Mutations in the CHK2 gene at chromosome 22q12.1 have been reported in families with Li-Fraumeni syndrome. Chk2 is an effector kinase that is activated in response to DNA damage and is involved in cell-cycle pathways and p53 pathways. We screened 139 breast tumors for loss of heterozygosity at chromosome 22q, using seven microsatellite markers, and screened 119 breast tumors with single-strand conformation polymorphism and DNA sequencing for mutations in the CHK2 gene. Seventy-four of 139 sporadic breast tumors (53%) show loss of heterozygosity with at least one marker. These samples and 45 tumors from individuals carrying the BRCA2 999del5 mutation were screened for mutations in the CHK2 gene. In addition to putative polymorphic regions in short mononucleotide repeats in a non-coding exon and intron 2, a germ line variant (T59K) in the first coding exon was detected. On screening 1172 cancer patients for the T59K sequence variant, it was detected in a total of four breast-cancer patients, two colon-cancer patients, one stomach-cancer patient and one ovary-cancer patient, but not in 452 healthy individuals. A tumor-specific 5' splice site mutation at site +3 in intron 8 (TTgt [a --> c]atg) was also detected. We conclude that somatic CHK2 mutations are rare in breast cancer, but our results suggest a tumor suppressor function for CHK2 in a small proportion of breast tumors. Furthermore, our results suggest that the T59K CHK2 sequence variant is a low-penetrance allele with respect to tumor growth.	Labeled	disease mechanism	2
2	32607550	220283995	Epithelioid hemangioendothelioma of the lung: CT findings and clinical course of 35 cases	To evaluate computed tomography findings and assess the clinical course of patients with pulmonary epithelioid hemangioendothelioma. Patients diagnosed with pulmonary epithelioid hemangioendothelioma at our institution between 2000 and 2019 were retrospectively analyzed. Patients with pleural involvement were excluded. Computed tomography findings of the lung at diagnosis were classified into three patterns: multiple small nodules pattern (˂15 mm), multiple nodules with large lesions pattern (≥15 mm) and single lesion pattern. Additionally, the clinical course of patients was evaluated. Thirty-five patients (15 men and 20 women; median age, 44 years) with pulmonary epithelioid hemangioendothelioma were identified. The multiple small nodules pattern, multiple nodules with large lesions pattern and single lesion pattern were observed in 25 (71.4%), 8 (22.9%) and 2 (5.7%) patients, respectively. In 22 (62.9%) patients, extra-pulmonary epithelioid hemangioendothelioma lesions were found. Most patients were followed without initial treatment, while two patients with single lesion pattern underwent surgical resection. The median follow-up period was 63 months. Five-year overall survival rate of all patients was 96.3%. Latest clinical information revealed that 20 (20/25, 80%) patients with multiple small nodules pattern were alive without symptoms. In patients with multiple nodules with large lesion pattern, four (4/8, 50%) patients were alive without symptoms, three (3/8, 37.5%) patients were alive with symptoms and one (1/8, 12.5%) died. No recurrence was observed in patients with single lesion pattern. Multiple small nodules pattern was the most common findings of pulmonary epithelioid hemangioendothelioma. Patients with pulmonary epithelioid hemangioendothelioma have good prognosis.	Labeled	clinical characteristics or disease pathology	0
3	21499150	15187628	Sequentially staged resection and 2-column reconstruction for C2 tumors through a combined anterior retropharyngeal-posterior approach: surgical technique and results in 11 patients	Surgical treatment of C2 tumors remains challenging. Because of the deep location and unique anatomical complexity, anterior exposure in this region is considered difficult and dangerous, and few reports concerning anterior tumor resection and reconstruction exist. To describe a technique of sequentially staged resection and 2-column reconstruction for C2 tumors through a combined anterior retropharyngeal-posterior approach. Eleven patients with C2 tumors underwent sequentially staged tumor resection and 2-column reconstruction in our institute. Eight primary lesions and 3 metastases were involved. Tumor resections and anterior reconstructions with conventional constructs were accomplished by an anterior retropharyngeal approach, and occipitocervical fusions through posterior access were performed in the same anesthesia. No operative mortality occurred in this series. All patients experienced pain relief and neurological improvement after surgery. Except for 1 incidence of screw pullout, which was corrected by revision surgery, solid fusion was achieved in all patients. A follow-up period of 12 to 37 months was available for this study. Two patients with chordoma relapsed; 1 died of disease, and the other was alive with disease. Two patients with metastasis died of multiple remote metastases. No evidence of local recurrence was found in the other patients. The anterior retropharyngeal approach is a favorable route to treat tumor lesions of the C2 vertebral body that allows tumor resection and placement of anterior constructs between C1 and the subaxial vertebral body. Tumor resection and 2-column reconstruction could safely be accomplished simultaneously through the combined anterior retropharyngeal-posterior approach.	Labeled	therapeutics in the clinic	3
4	33754658	232325683	A Novel Variaiton in the ACVRL1 Gene in a patient with Cirrhosis and Hereditary Hemorrhagic Telangiectasia.		Gold Standard	disease mechanism	2
5	31741105	208086777	Surgical workflow for fully navigated high sacral amputation in sacral chordoma	The method of choice for treatment of sacral chordomas is en bloc tumor removal via sacrectomy or sacral amputation in varying degrees depending on the initial tumor extent. Besides local tumor control, the preservation of neurological function is equally important to minimize postoperative bladder and bowel dysfunction. Removal of sacral tumors is complicated by the complex regional anatomy of the pelvis and the surrounding visceral and retroperitoneal structures. We aim to describe the surgical workflow for a fully navigated high sacral amputation facilitated by integration of an intraoperative computed tomography (iCT)-based spinal navigation system. An iCT-based spinal navigation system (AIRO® CT scanner, Brainlab AG, Feldkirchen, Germany) was used to perform intraoperative navigation with an image-guidance system and infrared tracking camera (BrainLab CurveTM, Brainlab AG, Feldkirchen, Germany) in combination with the spinal navigation set by Brainlab (Brainlab AG, Feldkirchen, Germany) to perform a fully navigated high sacral amputation. We demonstrate the successful implementation of iCT-based spinal navigation during high sacral amputation and the key advantages of this technique throughout the surgery. iCT-based spinal navigation is a useful complementing technique for en bloc high sacral amputations that renders the surgery safer and more accurate.	Labeled	therapeutics in the clinic	3
6	18073294	37415820	Evaluation of [18F]fluoro-L-DOPA positron emission tomography-computed tomography for surgery in focal congenital hyperinsulinism	In congenital hyperinsulinism (CHI), the identification and precise localization of a focal lesion is essential for successful surgery. Our objective was to evaluate the predictive value and accuracy of integrated [18F]fluoro-L-DOPA ([18F]FDOPA) positron emission tomography (PET)-computed tomography (CT) for the surgical therapy of CHI. This was an observational study. The study was performed in the Department of Pediatric Surgery at a university hospital. From February 2005 to September 2007, 10 children with the clinical signs of CHI and an increased radiotracer uptake in a circumscribed area of the pancreas in the [18F]FDOPA PET-CT were evaluated. Guided by the [18F]FDOPA PET-CT report, all children underwent partial pancreatic resection, in two cases twice. Correlation of the anatomical findings at surgery with the report of the [18F]FDOPA PET-CT, and the results of surgery and clinical outcome were determined. In nine children the intraoperative situation corresponded exactly to the description of the [18F]FDOPA PET-CT. A limited resection of the pancreas was curative in eight cases at the first surgery, in one case at the second intervention. We observed no diabetes mellitus or exocrine insufficiency in the follow up so far. In one child, hypoglycemia persisted even after two partial resections of the pancreatic head. Histological analysis finally revealed an atypical intermediate form of CHI. The integrated [18F]FDOPA PET-CT is accurate to localize the lesion in focal CHI and is a valuable tool to guide the surgeon in limited pancreatic resection.	Labeled	therapeutics in the clinic	3
7	32180040	212719059	FDG PET/CT used in identifying adult-onset Still’s disease in connective tissue diseases	To explore the 18F-fluoro-dexoxyglucose positron emission tomography/computed tomography (18F-FDG PET/CT) imaging characteristics of adult-onset Still’s disease (AOSD) and its significance in differential diagnosis from other connective tissue diseases (CTDs). FDG PET/CT images of 54 patients with AOSD and 66 with other CTD from patients suffering from fever of unknown origin (FUO) were retrospectively studied and compared with 40 healthy controls. Clinical and PET/CT characteristics of AOSD and other CTDs were compared, and SUVmax (maximum standardized uptake value) was used to analyze the differences of FDG uptake in the blood pool, liver, spleen, bone marrow, and hyperplastic lymph nodes between the AOSD and other CTDs. The SUVmax ratios of the spleen, bone marrow, and lymph nodes to the liver were used to establish the diagnostic criteria for differential diagnosis of AOSD, and its diagnostic efficiency was evaluated. Positive findings are presented in 53/54 (98.1%) AOSD patients and 61/66 (92.4%) other CTD patients in PET/CT imaging. AOSD manifested as diffusely increased FDG uptake in the spleen and bone marrow, and multiple reactive hyperplasia lymph nodes are symmetrically distributed mainly in the neck and axilla, while other organs were seldom involved. Although these abnormalities could be seen in other CTDs, its incidence and uptake value were both higher in AOSD. If two or more of the following three standard were met, the sensitivity, specificity, and accuracy of diagnosing AOSD could reach 90.7%, 92.4%, and 91.7%, respectively: ① spleen SUVmax/liver SUVmax ≥ 1.2 and/or bone marrow SUVmax/liver SUVmax ≥ 1.4; ②symmetrically distributed reactive hyperplastic lymph nodes mainly in the neck and axilla with a lymph node SUVmax/liver SUVmax ≥ 1.8; and ③ no other abnormal uptake found in other organs. Characteristic manifestations in AOSD were found on FDG PET/CT. These findings could help to identify AOSD from the other CTDs, especially in cases of fever of unknown origin, where it can assist in identifying the cause. Key Points • Image characteristics of FDG PET/CT in adult-onset Still’s disease were described. • FDG PET/CT helps in identifying adult-onset Still’s disease from the other connective tissue diseases. • FDG PET/CT imaging standard for diagnosing adult-onset Still’s disease were established. Key Points • Image characteristics of FDG PET/CT in adult-onset Still’s disease were described. • FDG PET/CT helps in identifying adult-onset Still’s disease from the other connective tissue diseases. • FDG PET/CT imaging standard for diagnosing adult-onset Still’s disease were established.	Labeled	clinical characteristics or disease pathology	0
8	19436707	14225730	Multipotent genetic suppression of retrotransposon-induced mutations by Nxf1 through fine-tuning of alternative splicing	Cellular gene expression machinery has coevolved with molecular parasites, such as viruses and transposons, which rely on host cells for their expression and reproduction. We previously reported that a wild-derived allele of mouse Nxf1 (Tap), a key component of the host mRNA nuclear export machinery, suppresses two endogenous retrovirus-induced mutations and shows suggestive evidence of positive selection. Here we show that Nxf1(CAST) suppresses a specific and frequent class of intracisternal A particle (IAP)-induced mutations, including Ap3d1(mh2J), a model for Hermansky-Pudlak syndrome, and Atcay(hes), an orthologous gene model for Cayman ataxia, among others. The molecular phenotype of suppression includes approximately two-fold increase in the level of correctly-spliced mRNA and a decrease in mutant-specific, alternatively-processed RNA accumulating from the inserted allele. Insertional mutations involving ETn and LINE elements are not suppressed, demonstrating a high degree of specificity to this suppression mechanism. These results implicate Nxf1 in some instances of pre-mRNA processing, demonstrate the useful range of Nxf1(CAST) alleles for manipulating existing mouse models of disease, and specifically imply a low functional threshold for therapeutic benefit in Cayman ataxia.	Labeled	disease mechanism	2
9	8408136	216127153	Operative treatment of sacrococcygeal chordoma	A review of twenty-one cases. Between 1972 and 1992, twenty-one patients had a primary operation for the treatment of a sacrococcygeal chordoma; seventeen had had a diagnostic biopsy elsewhere. The average age at the time of the operation was fifty-five years (range, six to seventy-eight years); fourteen patients were male and seven were female. In all patients, a posterior approach was used, even for resections at the cephalic levels of the sacrum. In addition, sixteen of the twenty-one patients were treated with adjuvant radiation therapy. Four patients died; three died of metastatic chordoma. Of the remaining seventeen patients, fifteen were apparently free of disease and had not had a local recurrence at the time of the latest follow-up examination. The average duration of follow-up for these fifteen patients was four and one-half years. Of the nine patients who were followed for at least five years, seven were disease-free at the latest follow-up evaluation. Of the seven patients in whom both second sacral roots were the most caudad nerve-roots spared, four had normal bladder control and five had normal bowel control. Of the four patients in whom the most caudad nerve-roots spared were the first sacral or more cephalic roots, all had impaired bladder control, one had impaired bowel control, and three had a colostomy.	Labeled	therapeutics in the clinic	3
