	doc_id	corpus_id	title	abstract	labels	labels_text
0	28608961	28608961	The Inductrack: a simpler approach to magnetic levitation	Arising out of research at the Lawrence Livermore National Laboratory on passive magnetic bearings, a new magnetic levitation system, the Inductrack, has been developed and tested at model scale. The system employs special arrays of permanent magnets (Halbach arrays) on the moving car. The magnetic field from the arrays induces repelling currents in a close-packed array of shorted circuits in the track. Above a low transition speed (a few kilometers per hour), levitation forces approach a constant value, while drag forces decrease inversely with speed, with L/D reaching 200:1 or more at operating speeds. The high magnetic efficiency of the Halbach arrays, plus the use of close-packed track circuits, results in levitating forces approaching 40 metric tonnes per square meter (using NdFeB permanent magnet arrays, whose weight in typical cases is a few percent of the levitated weight). The system is passively stable: only motion is required for levitation. Failure of the drive system only results in the train slowing down and settling onto auxiliary wheels at a low speed. A detailed theoretical analysis of the Inductrack was made, on the basis of which a small-scale model was constructed and operated. The Laboratory is building a new small-scale model system (under NASA sponsorship) to demonstrate the acceleration rates and speeds (10-g and Mach 0.4 in the model) needed to magnetically launch rockets.	[19]	['Physics']
1	121206462	121206462	Acceleration of spherical targets by laser and ion beams with time-profiled parameters	An analytic solution is obtained of the problem of acceleration of spherical targets (microbubbles) by laser and ion beams with time-profiled parameters. A study is made of several cases of a profiled radiation flux and its frequency (ion energy) which ensures that energy deposition in a target is most effective from the point of view of attainment of specific parameters of a compressed thermonuclear fusion fuel.	[8, 19]	['Engineering', 'Physics']
2	5178705	5178705	Online Stochastic Optimization under Correlated Bandit Feedback	In this paper we consider the problem of online stochastic optimization of a locally smooth function under bandit feedback. We introduce the high-confidence tree (HCT) algorithm, a novel anytime χ-armed bandit algorithm, and derive regret bounds matching the performance of state-of-the-art algorithms in terms of the dependency on number of steps and the near-optimality dimension. The main advantage of HCT is that it handles the challenging case of correlated bandit feedback (reward), whereas existing methods require rewards to be conditionally independent. HCT also improves on the state-of-the-art in terms of the memory requirement, as well as requiring a weaker smoothness assumption on the mean-reward function in comparison with the existing anytime algorithms. Finally, we discuss how HCT can be applied to the problem of policy search in reinforcement learning and we report preliminary empirical results.	[5]	['Computer science']
3	132160003	132160003	No. 29545. Germany and Poland	Agreement between the government of the federal republic of germany and the government of the polish republic concerning frontier crossings and types of traffic across the frontier. Bonn, 6 november 1992 [united nations, treaty series, vol. 1708, i-29545.]	[20]	['Political science']
4	116923221	116923221	Stress waves in layered materials.		[19]	['Physics']
5	97446661	97446661	Selective 1,5-Diene Synthesis. A Radical Approach	A new synthetic route to 1,5-dienes is described. Irradiation of a mixture of allyl bromides and allyl sulfides in the presence of hexamethylditin gives the cross-coupled products selectively.	[4]	['Chemistry']
6	128396309	128396309	Hydrocarbon distributions around a shallow water multiwell platform	Polynuclear aromatic hydrocarbon (PAH) concentrations in nearshore coastal sediments offshore of Matagorda, TX, average 29 {plus minus} 28 (SD) ppb compared to 96 {plus minus} 112 ppb for the sediments in adjacent coastal estuaries and bays. PAHs were analyzed in bottom sediments collected in the vicinity of a multiwell platform in {approximately} 25 m of water, where six wells had been drilled between May 1982 and November 1985. The most elevated PAH concentrations were restricted to within 25 m of the platform discharge point. Mean PAH concentrations for two samplings at 10 and 25 m from the platform were 494 {plus minus} 251 and 757 {plus minus} 1,820 ppb, respectively. The contaminated platform sites ({le} 25 m distant) were dominated by two-ring aromatics while the estuarine/bay and noncontaminated coastal sites were dominated by four- and five-ring aromatic hydrocarbons. Phenanthrene/anthracene ratios suggest a petroleum source for the hydrocarbons at platform stations and pyrolytic sources for the bay/estuarine hydrocarbons.	[9]	['Environmental science']
7	121278139	121278139	Moments of order statistics using the orthogonal inverse expansion method and its application in reliability	Moments of order statistics have widespread use in life-testing and reliability studies. The orthogonal inverse expansion method is a unique method which allows one to obtain moments and product moments of order statistics of any distribution. In the present paper, we demonstrate the application of the orthogonal inverse expansion method to compute moments of order statistics and the use of these moments in various reliability studies.	[8]	['Engineering']
8	16396084	16396084	Quantitative Performance Analysis of Scalogram as Instantaneous Frequency Estimator	Instantaneous frequency (IF) estimation through the estimation of peak locations in the time-frequency plane is an important approach for signals contaminated with additive white Gaussian noise. In this paper, the forementioned analysis is carried out for continuous wavelet transform. The analysis of the scalogram as the instantaneous frequency estimator is performed for any FM signal regardless of the mother wavelet. Accurate expressions for the bias and the variance of the estimator are derived, and reveal that the bias and the variance are signal dependent. Results are statistically confirmed through the numerical analysis for several mother wavelets, and among considered wavelets, the Morlet wavelet produces the smallest estimation error. Furthermore, the performance of the IF estimator based on the scalogram and the spectrogram were compared through analysis of mean square error. These results showed that the scalogram with the Morlet wavelet exhibited good performance for the sample linear FM signal and the sample hyperbolic FM signal in comparison to the spectrogram.	[8]	['Engineering']
9	157446285	157446285	Stagnation and the “New Protectionism”		[6]	['Economics']
