	doc_id	mag_id	corpus_id	title	abstract	descriptor	qualifier
0	12597439	1965296351	12597439	Microsatellite instability and Beta2-Microglobulin mutations as prognostic markers in colon cancer: results of the FOGT-4 trial	Background:High-level microsatellite instability (MSI-H) has been reported as a prognostic marker in colon cancer. We here analysed the prognostic significance of MSI and mutations of the Beta2-Microglobulin (B2M) gene, which occur in about 30% of MSI-H colon cancer, in the cohort of the prospective FOGT-4 (Forschungsruppe Onkologie Gastrointestinale Tumoren, FOGT) trial.Methods:Microsatellite instability status was determined using standard protocols (NCI/ICG-HNPCC panel and CAT25) in 223 colon cancer lesions. Beta2-Microglobulin mutation status was evaluated by exon-wise sequencing in all MSI-H lesions.Results:Patients with MSI-H (n=34) colon cancer presented with a significantly lower risk of relapse after 12 months of follow-up compared with MSS (n=189) colon cancer patients (5 year time to relapse: MSI-H 0.82 vs MSS 0.66, P=0.03). No significant difference in overall survival was detected. Beta2-Microglobulin mutations were identified in 10 (29.4%) out of 34 MSI-H colon cancers and were associated with a complete absence of disease relapse or tumour-related death events (P=0.09).Conclusion:The risk of late disease relapse was significantly lower in patients with MSI-H compared with MSS colon cancer. Moreover, B2M mutations may contribute to the favourable outcome of MSI-H colon cancer patients and should therefore be evaluated as a potential prognostic marker in future clinical trials.	Adenocarcinoma	genetics
1	36650140	2419161737	36650140	Clinical hypnosis for the palliative care of cancer patients.	Clinical hypnosis has been defined as a mind-body therapy that involves a deeply relaxed state, individualized mental imagery, and therapeutic suggestion.	Neoplasms	nursing
2	21971950	1966499654	21971950	The role of the thalamic reticular neurons in alpha- and gamma-oscillations in neocortex: a mechanism for selective perception and stimulus binding.	"The long-term objective is to understand how large masses of neurons in the brain process information during various learning and memory paradigms. Both time- and space-dependent processes have been identified in animals through computer-based analytic quantifications of event-related extracellular potentials. New nonlinear analyses have been introduced that presume that the fine-grain variation in the signal is determined and patterned in phase-space. Some neurons in the primary visual cortex manifest gamma-band oscillations. These cells show both a nonspecific phase-alignment (response synchrony) and a specific tuning (orientation tuning) when stimuli are presented to their receptive fields. This dual regulation of the sensory cells is proposed to underlie stimulus binding, a theoretical mechanism for ""object"" perception. Nonlinear analytic results from gamma-activities in a simple model neuropil (olfactory bulb) suggest that neuroplasticity may arise through self-organization, a process in which a nonlinear change in the dynamics of the oscillatory field potentials is the hallmark. This self-organization may follow simple dynamical laws in which global cooperativity among the neurons is transiently brought about that, over trials, results in enduring changes in the nonlinear dynamics of some neurons. In conclusion, the sculpturing of the synaptic throughput in the sensory cortex (stimulus binding) may be associated with the irregular phases of the gamma-activities and may result from both specific and nonspecific systems operating together in a nonlinear self-organizing manner."	Neurons	physiology
3	31404697	2030495716	31404697	An open-label, multicentre biomarker-oriented AIO phase II trial of sunitinib for patients with chemo-refractory advanced gastric cancer.	"BACKGROUND
Sunitinib monotherapy in pretreated patients with advanced gastric cancer (AGC) was investigated. Preplanned analyses of tumour biomarkers on treatment outcome were performed.


PATIENTS AND METHODS
Patients received sunitinib 50mg/day for 4 weeks with 2 weeks rest until disease progression or unacceptable toxicity. The primary end-point was objective response rate (ORR). Secondary end-points included progression-free survival (PFS), overall survival (OS) and safety.


RESULTS
Fifty-two patients were enrolled and treated (safety population, SP). In the intention to treat population (n=51); the ORR was 3.9%, median PFS was 1.28 months [95% CI, 1.18-1.90], median OS was 5.81 months [95% CI, 3.48-12.32], the estimated one-year survival rate was 23.7% [95%CI: 12.8-36.5]. In subgroup analyses, tumour VEGF-C expression compared with no expression was associated with significantly shorter median PFS (1.23 versus 2.86 months, logrank p=0.0119) but there was no difference in tumour control rate (p=0.142). In the SP, serious adverse events occurred in 26 patients, leading to 13 deaths, all sunitinib unrelated. Thirty-eight patients died from progressive disease, nine died <60 days after treatment start.


CONCLUSION
Sunitinib monotherapy was associated with limited tumour response and good/moderate tolerability in this setting."	Antineoplastic Agents	therapeutic use
4	23932277	2509174550	23932277	Expanded conceptualization of multimorbidity to encompass substance use disorders and other psychiatric illness.	"BACKGROUND
Traditionally, the study of medicine has focused on individual diseases. In reality, however, diseases tend to co-occur in individual patients, a concept known as multimorbidity. Multimorbidity most often is seen in geriatric practice. Empirical data on patients with multiple chronic disorders and clinical care guidelines based on single conditions are insufficient to inform medical care of patients with >1 medical condition.


METHODS
This article reviews concepts of multimorbidity in the published literature in the context of substance use disorders, other psychiatric disorders, and associated social and environmental problems in other populations, including public sector service populations.


RESULTS
Besides historically recognized co-occurrence of 3 dimensions of illness, including multiple medical illnesses, psychiatric disorders, and substance use disorders in varying combinations with one another, a fourth dimension of multimorbidity that includes associated social and environmental conditions fits within this construction.


CONCLUSIONS
Additional steps are needed to address more effectively the needs of patients with substance use and other psychiatric disorders in the public sector psychiatric systems of care. These efforts will need to address the systems theory approach to multimorbidity that entails the socioeconomic and environmental aspects of their conditions."	Mental Disorders	epidemiology
5	38994475	2110651497	38994475	Relationship between cell membrane potential and natural killer cell cytolysis in human hepatocellular carcinoma cells.	One of the body's natural defense mechanisms against tumor cells is lysis of the invading cell by cytotoxic T-cells and natural killer (NK) cells. Five human hepatocellular carcinoma cell lines were found to have different sensitivities to killing by peripheral blood monocytes in a 51Cr release assay. This killing was demonstrated to be due to NK cell lysis. Electrical recording measurements of the membrane potentials of these five cell lines showed different values for each line, all below values reported for normal hepatocytes. Correlation between mean cell membrane potential, and sensitivity to NK lysis, revealed an inverse relationship. In this study we demonstrate that the lower the mean membrane potential of a human hepatocellular carcinoma cell line, the more sensitive it is to NK cell cytolysis. Cell surface positive potential did not correlate with NK cytolysis and only a weak correlation was found between cell membrane negative potential and cell surface positive potential between cell lines.	Liver Neoplasms	immunology
6	46070961	1978593760	46070961	Death ligand‐mediated apoptosis in HIV infection	Apoptosis has been suggested to cause severe CD4+ T cell depletion in patients infected with HIV. This review focuses on the biological events involved in death ligand‐induced apoptosis during HIV infection. Among these ligands, TRAIL appears critical in HIV‐infection. Death ligand‐induced apoptosis might be a major pathogenic event in many virus‐induced diseases including AIDS and the clarification of its mechanism will aid in the development of therapeutic strategies. Copyright © 2005 John Wiley & Sons, Ltd.	HIV Infections	physiopathology
7	13544649	2064506052	13544649	Angiogenesis at the site of deepest penetration predicts lymph node metastasis of submucosal colorectal cancer	PURPOSE: Intratumor microvessel count has been reported as a useful prognostic factor in patients with cancer of various organs. This study was undertaken to clarify the relation between microvessel count and lymph node metastasis in submucosal colorectal cancer. METHODS: Microvessel count was estimated in 254 invasive tumors that had been resected from patients with submucosal colorectal cancer. Immunohistochemistry with antibodies against CD34 was performed on archival specimens, and microvessel counts were estimated based on the average count of three fields (original magnification, ×400) in the most vascular area at the site of deepest submucosal penetration. RESULTS: Microvessel count ranged from 10 to 98, with a median of 40. Lesions with high microvessel counts (≥40) had a significantly higher incidence of lymph node metastasis than those with low microvessel counts (<40; 21.8 percentvs. 6.2 percent). None of the 79 lesions with low microvessel counts and submucosal invasion up to a depth of 1,500µm had metastasized to the lymph nodes. In multivariate analysis, microvessel count was an independent risk factor for lymph node metastasis in submucosal colorectal cancer (P=0.0026). CONCLUSION: Microvessel count at the site of deepest submucosal penetration can be one of the most useful predictors for lymph node metastasis. Analysis that combines microvessel count and depth of submucosal invasion may predict the occurrence of lesions without lymph node metastasis.	Adenocarcinoma	blood supply
8	25311549	1972179684	25311549	Escitalopram increases cortical nitric oxide synthase (NOS) in rat brain during ethanol withdrawal.	The effect of escitalopram on ethanol withdrawal syndrome (EWS) and involvement of nitric oxide system in rats was investigated. Male Wistar rats divided into five experimental groups of eight animals each: (a) control group; (b) EWS (saline) group; (c) escitalopram 2.5 mg group; (d) escitalopram 5mg group and (e) escitalopram 10 mg group. Ethanol dependence was induced in rats by ethanol-containing liquid diet and ethanol withdrawal was precipitated by replacing ethanol free diet. Ethanol receiving rats in individual groups were decapitated on 21st day of ethanol ingestion and at sixth hour of ethanol withdrawal. Brains were removed and dissected. Five regions of the brain were dissected: the frontal cortex, cerebellum, striatum, hippocampus and hypothalamus. Immunohistochemical NOS staining was performed. The NOS staining intensity in cortex and hypothalamus regions were significantly lower in EWS group than control group. During EWS period, in rats given 2.5 and 10 mg/kg escitalopram, the staining intensity in cortex, striatum and hippocampus were found to be 11.492, 8.519 and 11.234, respectively, and was statistically different than the control group. The hippocampal NOS staining intensity was found to be significantly decreased with 2.5 mg/kg escitalopram, whereas the cortex, striatum and hippocampal staining intensity were increased significantly with 5 mg/kg. In 10 mg/kg escitalopram group, staining properties were not different than those of the control group. Our results suggest that NOS decreases during ethanol withdrawal in cortex and hypothalamus of rat brain and treatment with escitalopram reverses the enzyme density in cortex but not hypothalamus.	Brain	enzymology
9	36170236	2061812838	36170236	Subcutaneous morphea with dystrophic calcification with response to ceftriaxone treatment.	Whole-body positron emission tomography (PET) and computed tomography (CT) performed at the time of the histologic diagnosis were normal. These findings strongly supported the diagnosis of primary cutaneous Hodgkin lymphoma. The patient received local radiation therapy (2 Gy daily for 5 days a week, for a total of 40 Gy) and had complete regression of the skin lesions with residual hyperpigmentation. During 7 years of follow-up laboratory tests, PET and CT scans and control histology ( performed in the same radio-treated skin area 6 months after radiotherapy) were all in the normal range, and no evidence of systemic disease was shown. During the follow-up period, CT scans were repeated four times, every 18 to 20 months. The patient has completely recovered and is currently in good health. HD is a lymphoma of unknown etiology that most often presents as painless swelling of the superficial lymph nodes. It is usually a systemic disease. Skin involvement with painless reddish papules and nodules that become ulcerated may be a late manifestation of Hodgkin lymphoma and generally reflects direct extension from underlying nodal disease. Rarely, retrograde lymphatic spread or hematogenous dissemination may occur. Skin involvement with nonspecific cutaneous findings may represent a paraneoplastic syndrome characterized by pruritus, urticaria, erythroderma, eczematoid, and psoriasiform eruptions. In this scenario, neoplastic cells are not detected histologically. Primary cutaneous HD in the absence of systemic involvement is rare. Sioutos et al described five cases of primary cutaneous HD without evidence of systemic disease. Interestingly, in three of these cases, HD remained restricted to the skin after 20 years of follow-up, whereas in two of the cases, Hodgkin lymphoma was discovered in the lymph nodes after 2 months and 6 years, respectively. Guitart et al reported an elderly patient with a single cutaneous nodule histologically classified as HD in whom systemic disease was discovered 1 year later. The histologic diagnosis of primary cutaneous HD is difficult, although detection of neoplastic ReedeSternberg cells with mirror nuclei is helpful. Cerroni et al summarized the immunohistochemical features of cutaneous HD in seven patients with nodal HD and specific cutaneous lesions and concluded that immunohistochemical analysis is helpful for diagnosis. The neoplastic cells are positive for activation antigens CD30 and CD15 and negative for CD45. These findings strongly support the diagnosis of HD and exclude lymphomatoid papulosis, which sometimes may simulate HD histologically. Our case highlights the possibility that Hodgkin lymphoma, which is generally a systemic disease that in its late stage can involve the skin, may also occur as primary skin tumor. Primary cutaneous HD may be diagnosed when the condition is restricted to the skin without evidence of extracutaneous disease at the time of diagnosis and within the first 6 months after diagnosis. Careful clinical follow-up is always indicated to exclude the evolution of primary cutaneous HD to systemic lymphoma.	Anti-Bacterial Agents	administration & dosage
