	doc_id	title	abstract	corpus_id
0	91a5c521e12b74d42f4941a0df2094dab41594c4	Statistical reconstruction for quantitative CT applications	This paper summarizes considerations in developing statistical reconstruction algorithms for polyenergetic X-ray CT. The algorithms are based on Poisson statistics and polyenergetic X-ray attenuation physics and object models. In single-kVp scans, object models enable estimates of the contributions of bone and soft tissue at every pixel, based on prior assumptions about the tissue properties. In dual-kVp scans, one can estimate water and bone images independently. Preliminary results with fan-beam data from two cone beam systems show better accuracy for iterative methods over FBP.	1255118
1	9fed436969a59921eb5a495c8cf682cd0436902a	Antenna Pattern Measurement of the Large-Size Radio Telescope by Correlation Techniques and GNSS	It is a challenge to measure the antenna pattern of a large-sized radio telescope with a high resolution because it hardly rotates. This letter presents a simple and efficient method to measure the large-sized radio antenna pattern based on correlation techniques and the Global Navigation Satellite System (GNSS). We estimate the normalized pattern function of the electric field by utilizing correlation properties of the navigation signal in the auxiliary antenna and the radio antenna. The method avoids obtaining a large number of accurate pseudo-code information. Compared to the traditional methods based on the energy detection, the proposed method extends the measurement range and improves the measurement accuracy of the antenna pattern. At the same time, the method also has a better performance in anti-variation of channel and anti-interference.	127421397
2	ad67ccee45b801b0138016e2f44a566344e77320	Semi-supervised Learning by Entropy Minimization	"We consider the semi-supervised learning problem, where a decision rule is to be learned from labeled and unlabeled data. In this framework, we motivate minimum entropy regularization, which enables to incorporate unlabeled data in the standard supervised learning. Our approach includes other approaches to the semi-supervised problem as particular or limiting cases. A series of experiments illustrates that the proposed solution benefits from unlabeled data. The method challenges mixture models when the data are sampled from the distribution class spanned by the generative model. The performances are definitely in favor of minimum entropy regularization when generative models are misspecified, and the weighting of unlabeled data provides robustness to the violation of the ""cluster assumption"". Finally, we also illustrate that the method can also be far superior to manifold learning in high dimension spaces."	7890982
3	4abf8640db962fcdcae4cb0cd2e63885eb7344dc	A VLSI architecture for radix-2/sup k/ Viterbi decoding with transpose algorithm	The paper presents a novel transpose path metric (TPM) algorithm to reduce the interconnection routing complexity for a radix-2/sup k/ Viterbi decoder. With simple local interconnections, the algorithm can provide a permutation function for state rearrangement in a transpose strategy. With features of modulation and regularity, this algorithm is very suitable for VLSI implementation; consequently, a larger memory length VA decoder can be constructed with several smaller memory length modules. Finally, a VLSI architecture for a 16-states radix-4 VA decoder using TPM has been developed.	60592177
4	7eab3c593e4fd28adfec3c0523b9510cea4838af	Design of steerable filters for the detection of micro-particles	This paper presents two contributions. We first introduce a continuous-domain version of Principal-Component Analysis (PCA) for designing steerable filters so that they best approximate a given set of image templates. We exploit the fact that steerability does not need to be enforced explicitly if one extends the set of templates by incorporating all their rotations. Our results extend previous work by Perona to multiple templates. We then apply our framework to the automatic detection and classification of micro-particles that carry biochemical probes for molecular diagnostics. Our continuous-domain PCA formalism is particularly well adapted in this context because the geometry of the carriers is known analytically. In addition, the steerable structure of our filters allows for a fast FFT-based recognition of the type of probe.	14926948
5	0191e322146aea376d627234ef85ce29f1912adb	A lightweight multiview tracked person descriptor for camera sensor networks	We present a simple multiple view 3D model for object tracking and identification in camera networks. Our model is composed of 8 distinct views in the interval [0, 7pi/4]. Each of the 8 parts describes the person's appearance from that particular viewpoint. The model contains both color and structure information about each view which are assembled into a single entity and is meant as a simple, lightweight object representation for use in camera sensor networks. It is versatile in that it can be gradually assembled on-line while a person is tracked. The model's ease of use and effectiveness for identification in surveillance video is demonstrated.	14893323
6	f0992f17bf94f67ca6125d4f425ec6ab4c73f3a3	Entropy Numbers for Convex Combinations and MLPs	This chapter contains sections titled: Introduction, Tools from Functional Analysis, Convex Combinations of Parametric Families, Convex Combinations of Kernels, Multilayer Networks, Discussion, Appendix: A Remark on Traditional Weight Decay, Appendix: Proofs	118355980
7	228f2d45700346466fd7dd94e3283c0d4e869379	Enron case study: Analysis of email behavior using EmailTime	This paper presents a case study with Enron email dataset to explore the behaviors of email users within different organizational positions. We defined email behavior as the email activity level of people regarding a series of measured metrics e.g. sent and received emails, numbers of email addresses, etc. These metrics were calculated through EmailTime, a visual analysis tool of email correspondence over the course of time. Results showed specific patterns in the email datasets of different organizational positions.	9264929
8	4315b147fed81f96d7467693ffbdac5173b15ddf	A new clustering evaluation function using Renyi's information potential	Clustering is an important unsupervised learning paradigm, but so far the traditional methodologies are mostly based on the minimization of the variance between the data and the cluster means. Here we propose a new evaluation function based on a previously developed information theoretic measure defined from Renyi's (1960) entropy. We show how to apply Renyi's entropy to clustering and analyze the resulting staircase nature of the performance function that can be expected during learning. We suggest simulated annealing as a possible optimization criterion.	9918352
9	9dbec260d4ff68b183feda51d585ac2f839b2b72	Discovering single classes in remote sensing images with active learning	When dealing with supervised target detection, the acquisition of labeled samples is one of the most critical phases: the samples must be yet representative of the class of interest, but must also be found among a vast majority of non-target examples. Moreover, the efficiency of the search is also an issue, since the samples labeled as background are not used by target detectors such as the support vector data description (SVDD). In this work we propose a competitive and effective approach to identify the most relevant training samples for one-class classification based on the use of an active learning strategy. The SVDD classifier is first trained with insufficient target examples. It is then used to detect the most informative samples to be labeled by a user through active learning techniques. By selecting unlabeled samples in a smart way and by adopting a diversity criterion, it is possible to obtain an accurate description of the class of interest with a relatively small number of training samples. The performance of the proposed method is illustrated in a change detection scenario and is validated by comparison with state-of-art active learning techniques originally developed for multiclass problems.	14435217
