	doc_id	corpus_id	title	abstract	authors	cited_by	references	year
0	ac4b94238790c5caab719e4d75e75ac41dd6cade	374705.0	Time trends of chest pain symptoms and health related quality of life in coronary artery disease	BackgroundThere is at present a lack of knowledge of time trends in health related quality of life (HRQL) in common patients with coronary artery disease (CAD) treated in ordinary care. The objective of this study is to assess and compare time trends of health related quality of life (HRQL) and chest pain in patients with coronary artery disease.Methods253 consecutive CAD patients in Stockholm County, Sweden – 197 males/56 females; 60 ± 8 years – were followed during two years. Perceived chest pain symptoms and three global assessments of HRQL were assessed at baseline, after one and after two years. EuroQol-5 dimension (EQ-5D) with a predefined focus on function and symptoms; the broader tapping global estimates of HRQL; EuroQol VAS (EQ-VAS) and Cardiac Health Profile (CHP) were used. Chest pain was ranked according to Canadian Cardiovascular Society (CCS). Change in HRQL was analysed by a repeated measurements ANOVA and chest pain symptoms were analysed by Friedman non-parametric ANOVA.ResultsPerceived chest pain decreased during the two years (p < 0.00022); CCS 0: 41–51%; CCS 1: 19–15%; CCS 2: 31–27%; CCS 3: 5–4% and CCS 4: 4–2%. By contrast, HRQL did not change: EQ-5D: 0.76 (CI 0.73–0.79) -0.78 (CI 0.75–0.81), EQ-VAS: 0.68 (CI 0.66–0.71)-0.68 (CI 0.65–0.71) and CHP: 0.66 (CI 0.64–0.69) -0.66 (CI 0.64–0.69).ConclusionHRQL did not increase despite a reduction in the severity of chest pain during two years. This implies that the major part of HRQL in these consecutive ordinary patients with CAD is unresponsive to change in chest pain symptoms.	['3868913', '3341045']	[]	['faa91c4cd605bbd55348ece77906f69a2de4a4ed', '2d51c7f37e3d62ad755431b668b693e1487ee813', 'cfde27d5879c01b81eb831128e9099fceae8ee82', 'b8bebe906f86e0ecf5835fb5c3042d92b4e311dd', '73c0b63f7fe074b98eca9c33ca6f1022051ef060', '8df287f9170102af0d4a0f00f292cd1fd1548f10', 'eb107c4e4712247931cf9f6eced0ca9d3536c378', 'e74c52a42aade30a168f6f460305553e434c8b1c', 'a777eda7d77a7eedb17c21ecc987b2c4f3ebdcd0', '257c8cdaf333a1abebe59ebd86d71c3e191c6d85']	2007
1	698102c1c99b2cd1e42f49c598b60a045b42a6c8	142523400.0	The function of mimesis and its decline		['49649038']	[]	[]	1968
2	9fd2c476094bcfd0fc6f71936f8223dc9b26894e	30272732.0	The efficacy of gabapentin in migraine prophylaxis: an observational open label study.	Migraine is often a chronic and disabling disorder. The objective of our study was to assess the efficacy and safety of gabapentin in the prophylaxis of migraine in patients refractory to other prophylactic treatments. The study included 67 migraine patients, 55 women and 12 men; 52 patients completed this prospective, open-label study. Patients were given 900-1800 mg of gabapentin in 3 doses; the mean duration of treatment was 7.2 months. Reduction in the number of days with headache, pain intensity and number of acute medications was assessed through patient diary. The mean number of migraine days/4 weeks was reduced from 15.8 to 8.6, yielding a reduction of 7.2 migraine days/4 weeks (P=0.001). Pain intensity was reduced by 25% in 14 (26.9%), by 50% in 29 (55.7%) and by 75% in three (5.7%) patients, whereas no improvement was reported by six (11.5%) patients at the end of follow up. A significant reduction was recorded in acute medication use (P=0.001). Adverse events were reported by 32/67 (47.8%) patients, in 15 (22.4%) of them causing discontinuation of the drug. The most frequently reported adverse events were drowsiness, dizziness and slowness. Prophylactic treatment with gabapentin was found to be associated with a significant reduction in the number of days with headache, use of acute medications and pain intensity.	['2453506', '4931166', '5269219', '6666956']	[]	['71047359827f1b30e45d5e068b907379bbeadb91', '0f8f06acff151e6d168c7077a458d9bbfdb2d996', '2abd28e4f78ddbe7012a5cead6f79b5b3c5d2958', '6a571e8202268e821557a52576123b2fef644225', 'a81bc9314cfd47a511557866d91adbb8335aea4e', '4adb0e636d4203d74007df2a5c0023dfd1e8cb77', 'a4d0256c2c09ba589ee48ff4a18891d256865351', '7457092198d2ae1ef6cd748d7171f10aa2eb79e9', 'ea49ade6fedccd5c24e858b0524fa7b3cc8c97ee', '77fba9f3026ee2439c4cd79047d44d6b29f7f994']	2009
3	3b762202fa0fdd27dbd0ed4f8ed17b9cd9e2e5a2	81503370.0	Research uncovers 'new' life form		['87971927']	[]	[]	1977
4	29672f60dc36419c7157b460f9a56f985f1450a8	136496704.0	Microstructure and Mechanical Properties of VTaTiMoAlx Refractory High Entropy Alloys	A series of refractory high-entropy alloys VTaTiMoAlx with x=0,0.2,0.6,1.0 were designed and produced by vacuum arc melting. The effect of added Al elements on the microstructure and mechanical properties of refractory high-entropy alloys were investigated. The X-ray diffraction results showed that all the high-entropy alloys consist of simple BCC solid solution. SEM indicated that the microstructure of VTaTiMoAlx changes from equiaxial dendritic-like structure to typical dendrite structure with the addition of Al element. The composition of different regions in the alloys are obtained by energy dispersive spectroscopy and shows that Ta, Mo elements are enriched in the dendrite areas, and Al, Ti, V are enriched in inter-dendrite areas. The yield strength and compress strain reach maximum (σ0.2=1221MPa, e=9.91%) at x=0, and decrease with the addition of Al element at room temperature. Vickers hardness of the alloys improves as the Al addition.	['115587635', '144031089', '118306865', '47006414', '8036948']	[]	[]	2017
5	f879534af92026a1ddd6c5ba9bb2ce6da16a016a	133558785.0	Surface Science and Environmental Problems		['2336424']	[]	[]	2015
6	e40d403082d36dd1e5912959e3e8d59a1440e096	27130199.0	Increase in urinary leukotriene LTE4 levels in acute asthma: correlation with airflow limitation.	"BACKGROUND
Leukotrienes play a key role in the pathophysiology of chronic asthma. Activation of leukotriene pathways is accompanied by rises in detectable urinary levels of leukotriene E4 (LTE4). The relationship between urinary LTE4 levels and factors associated with acute asthma has not been determined.


METHODS
Adults aged 15-54 years presenting with moderate to severe acute asthma were evaluated at emergency departments in 16 US sites. Forced expiratory volume in 1 second (FEV1) was measured during the first 60 minutes after arrival and at specified times until discharge or admission. Urine samples for measurement of LTE4 levels were obtained either on arrival at the study site and/or before discharge. Patients were seen 2 weeks later for follow up, at which time repeat FEV1 measurements and urine samples for LTE4 were obtained.


RESULTS
One hundred and eighty four patients were evaluated; LTE4 results from both the acute and follow up periods were available for analysis in 146. Urinary LTE4 levels were increased during asthma exacerbations compared with levels obtained 2 weeks later (geometric means 111.7 and 75.6 pg/mg creatinine, respectively, mean percentage change -32.3; 95% confidence interval (CI) for the mean percentage change -39.6 to -24.3, p<0.001). The correlation between improvement in FEV1 and decline in LTE4 over the 2 week interval was significant (p<0.001, r=0.43).


CONCLUSIONS
Activation of leukotriene pathways in acute asthma is correlated with the degree of airflow obstruction, and resolution of the asthma exacerbation is associated with a reduction in leukotriene levels."	['46818758', '50158096', '2733559', '6786515', '2169289']	[]	['b8661a4e96809ce728d15efe54b68e9e69c8ff8e', 'c71870e35dbab6387a5c34b1cbdc761d3500d1c1', 'b53efc8020633084f8579c293734fe1b39b77c42', 'acc08e9f51530855570cbeb4774795cdfb11c854', '794d8feef5eb58a01a2daedf807a441bb5b34521', '50ce4cb6fb4febe85ba764cbb4c3eca1a740327d', '51a3a6882af09c24c44dd5c2d68c5aa1c6ec2d03', 'c9690bb45909e7a4306609524e2975bff37d49c0', '702085bf0ea6e1bc98d6576735a7f39bf1e61638', '08efc122ad6cb4314a8b2109faafddbfd83f4ec5']	2004
7	f3be533773e8611dee7e130bf59aa1a1e19e058d	7964180.0	Tobacco withdrawal components and their relations with cessation success	Tobacco withdrawal is a key factor in smoking relapse, but important questions about the withdrawal phenomenon remain. This research was intended to provide information about two core components of withdrawal (negative affect and craving): (1) how various withdrawal symptom profile dimensions (e.g., mean level, volatility, extreme values) differ between negative affect and craving; and (2) how these dimensions relate to cessation outcome. Adult smokers (N = 1,504) in a double-blind randomized placebo-controlled smoking cessation trial provided real-time withdrawal symptom data four times per day for 4 weeks (2 weeks pre-quit and 2 weeks post-quit) via palmtop computers. Cessation outcome was biochemically confirmed 8-week point-prevalence abstinence. Examination of craving and negative affect dimensions following a cessation attempt revealed that craving symptoms differed from negative affect symptoms, with higher means, greater variability, and a greater incidence of extreme peaks. Regression analyses revealed that abstinence was associated with lower mean levels of both craving and negative affect and fewer incidences of extreme craving peaks. In a multivariate model, the increase in mean craving and negative affect scores each uniquely predicted relapse. Real-time reports revealed different patterns of abstinence-related negative affect and craving and that dimensions of both predict cessation outcome, suggesting that negative affect and craving dimensions each has motivational significance. This underscores the complexity of withdrawal as a determinant of relapse and the need to measure its distinct components and dimensions.	['1809068', '4592304', '38825965', '8233666', '48231238', '1887059', '31653072', '8363666', '4788028', '6545064', '2413288']	[]	['7378d8423835bd110b866a2f6a1419060533907d', '6c11483044b55030f4c4c2df357c1d638d95bfbb', '4138476ba71d1d8416dd9a72f9da9f53bae7accc', 'eb81b2dd69fc928fb53792c2e10022f4bbed9237', 'af10a1866e3ded30756c4dfc098e0ea2e8f78a89', 'a1d7b03248bdea62b4f420ac5f9b738f0e3f9ca9', '7aa40798ebdeb1c442f9b2636f43899dac56c91b', '3c93ecf7ecc69cd3212c7bdff897e9f7eeaaca05', '38c0bec259bb98e134ab8f0ae0f6bf4745c0ed82', '74c8dd44c488807e054a5ed8711f6bc7b2fbeaea']	2011
8	0f987112980e65799547d0735aa0a38777e34277	11854951.0	On Unitarity of Massive Gravity in Three Dimensions	We examine a unitarity of a particular higher-derivative extension of general relativity in three space-time dimensions, which has been recently shown to be equivalent to the Pauli-Fierz massive gravity at the linearized approximation level, and explore a possibility of generalizing the model to higher space-time dimensions. We find that the model in three dimensions is indeed unitary in the tree-level, but the corresponding model in higher dimensions is not so due to the appearance of non-unitary massless spin-2 modes.	['46245784', '6921342']	[]	['5a11218499344af70ac2ddef7914205f81c40e2b', '09e8654a8e87654aaef48b81ea459950e4e7e125', 'bad6e0b469f33cbb4a5f693cfacfc666e10a9ed1', 'b48c4f7ddbece99f18450fc524c135891e91142e', '7a969a9e27188e75e1225d21c93c2d49ade5151e', '4377092ca50bf7999d3501de1d98aefab7120ceb', '294d7d3a47907dd83b6451501e43a12513c38dc6', 'b2efeb47e18af10f10575d2fc3b5e7cbf0f1880c', '5ed5a999c3e18e4c3893c73c0a845d154def6d55', '59f6a7312f3005d822987c1bd8df6e2901411cd8']	2009
9	08539257280cc470e9c115d20e4b092945ca8eeb	25141604.0	Acceptability and outcomes of percutaneous endoscopic gastrostomy (PEG) tube placement and patient quality of life.	"BACKGROUND/AIMS
Since its description in 1980, percutaneous endoscopic gastrostomy has been a widely used method for insertion of a gastrostomy tube in patients who are unable to swallow or maintain adequate nutrition. This study aimed to assess the perspectives of patients/caregivers in our society regarding the acceptability of percutaneous endoscopic gastrostomy tube placement and to evaluate the outcomes.


METHODS
One hundred consecutive adults referred to our unit to be considered for primary percutaneous endoscopic gastrostomy feeding at Imam Reza Hospital of Tabriz University of Medical Sciences were evaluated prospectively from October 2007 to June 2009. The nutritional status of patients, complications and quality of life were assessed after percutaneous endoscopic gastrostomy insertion for six months. The data were analyzed using SPSS software.


RESULTS
Indications for percutaneous endoscopic gastrostomy were neurologic in 66 patients and recurrent pulmonary aspiration in 14 intensive care unit adult patients. Minor complications included percutaneous endoscopic gastrostomy site infection in 8 patients and tube blockage in 5 patients. Oral feeding was resumed in 27% of the patients and the tube was removed subsequently after 3-6 months; 42 patients died due to primary diseases (in 1-6 months). The Quality of Life Index scores pre-percutaneous endoscopic gastrostomy placement and 6 months after percutaneous endoscopic gastrostomy averaged 19.25±11.85 and 30.08±27.74, respectively. A similarly significant difference was also found between mean Quality of Life Index scores pre- and post-percutaneous endoscopic gastrostomy placement (p<0.005).


CONCLUSIONS
Percutaneous endoscopic gastrostomy is a minimally invasive gastrostomy method with low morbidity and mortality rates, and is easy to follow-up and to replace when blockage occurs."	['10744500', '10773967', '32427012']	[]	['0dcce6058c03307d742cf735cea502fec4a517fb', '26d4d552fae1a08fe65bf8b65e90ed939ab7665d', '821327b133fcf1d093c6eba45224d234204e4299', '92a6848d5b4b158fb996a7097523a06d985dbafa', 'fb1f9f445e5aede8933ae08200959b5341be1ad6', '00058bd40592f78fa70a298117a7db0276e88aa7', 'c56d6f523850c17c8b3d8641c9558e9502539362', 'ec360471789ade447d9a0425c82fcd7224a6bd83', 'b7302de49e9e7a09872cc6f9ddf2ffe72e4b0f54', 'd18d456a8b68cf1b163142841d9c23b660719b9b']	2011
