	doc_id	corpus_id	title	abstract	authors	cited_by	references	year
0	c3b1c33848e93ad6a853a62412494bba36aa7f2a	8266597	A Survey of Non-conventional Techniques for Low-voltage Low-power Analog Circuit Design	Designing integrated circuits able to work under low-voltage (LV) low-power (LP) condition is currently undergoing a very considerable boom. Reducing voltage supply and power consumption of integrated circuits is crucial factor since in general it ensures the device reliability, prevents overheating of the circuits and in particular prolongs the operation period for battery powered devices. Recently, non-conventional techniques i.e. bulkdriven (BD), floating-gate (FG) and quasi-floating-gate (QFG) techniques have been proposed as powerful ways to reduce the design complexity and push the voltage supply towards threshold voltage of the MOS transistors (MOST). Therefore, this paper presents the operation principle, the advantages and disadvantages of each of these techniques, enabling circuit designers to choose the proper design technique based on application requirements. As an example of application three operational transconductance amplifiers (OTA) based on these non-conventional techniques are presented, the voltage supply is only ±0.4 V and the power consumption is 23.5 μW. PSpice simulation results using the 0.18 μm CMOS technology from TSMC are included to verify the design functionality and correspondence with theory.	['1800736', '3253981', '1794296']	[]	['f1809de87141bee37966e847530cd499adb8f400', 'ae063b3f1e3def8522bab8188fa1894fe21dbbf9', 'a4de1380dcc3939751f4566668609ac66fc990c7', 'd34682e85bd952519df874b5fd71f84158e4a1e7', '8c8d79640fbf797de7ed2fa7163f4a7c41ae32c9', '9aca823210d86f5eb13dd4a769f81d102d9e6dea', 'f19a15b9ed1c9c29a823b371748f3bb5d6882fb7', 'b8629d1816a9ea35202f5b9c07dba43c755f5154', '83e65007ad2858d77072e0a5d33427ea394be662', '01f21a47959a7c0bd2f113f3c477061afdd2936a']	2013.0
1	0ff022e1276f803745a35ef0c99a5a3fe6f07174	30869697	Highly adaptable MEMS-based display with wide projection angle	We demonstrate a MEMS-based display system with a very wide projection angle of up to 120deg. The system utilizes a gimbal-less two-axis micromirror scanner for high-speed laser beam-steering in both axes. The optical scan angle of the micromirrors is up to 16deg on each axis. A custom-designed fisheye lens is utilized to magnify scan angles. The system can display a variety of vector graphics as well as multiframe animations at arbitrary refresh rates, up to the overall bandwidth limit of the MEMS device. It is also possible to operate the scanners in point-to-point scanning, resonant and/or rastering modes. The system is highly adaptable for projection on a variety of surfaces including projection on specially coated transparent surfaces (Fig. 3.) The size of the displayed area, refresh rate, display mode (vector graphic or image raster,) and many other parameters are all adjustable by the user. The small size of the MEMS devices and lens as well as the ultra-low power consumption of the MEMS devices, in the milliwatt range, makes the overall system highly portable and miniaturizable.	['2783145', '48407380', '2330272']	[]	['32f143556b6849c86fb68b1339cd654ad14aebab', '985926762bf37a124a1ea6f7e5d1d94ca5f6f3c8', 'c4986fe8ef6aa47df22167e16e630f180c85d29e', 'f7b8f28d649a5d3a396d9a36c9ed42b37c9f66bb', 'bcb8906921199c06232244b8c81bf9d3cc6ac391']	2007.0
2	459bcd89598af2c1b71977fa77450ef10384b971	17715556	Compromise solution by MCDM methods: A comparative analysis of VIKOR and TOPSIS	The multiple criteria decision making (MCDM) methods VIKOR and TOPSIS are based on an aggregating function representing â€œcloseness to the idealâ€​, which originated in the compromise programming method. In VIKOR linear normalization and in TOPSIS vector normalization is used to eliminate the units of criterion functions. The VIKOR method of compromise ranking determines a compromise solution, providing a maximum â€œgroup utilityâ€​ for the â€œmajorityâ€​ and a minimum of an individual regret for the â€œopponentâ€​. The TOPSIS method determines a solution with the shortest distance to the ideal solution and the greatest distance from the negative-ideal solution, but it does not consider the relative importance of these distances. A comparative analysis of these two methods is illustrated with a numerical example, showing their similarity and some differences. a, 1 b Purchase Export Previous article Next article Check if you have access through your login credentials or your institution.	['1707948', '2970136']	[]	['53461c08c92b0503129a24d6950df0d55f6b6613', 'd1c00f7f18ef33b47de453d4aa8f046202317a5c', 'e08c595c78c450d734cd361ae302777255fee5e6', '9b73cf7f75ccfae576b9c973e9895bc608a13031', '6a986ee8113e578025237f1805a456461004416e', '4084880c0e4d73f027eed8bcd388b0174a7f81cd', 'b80d3e5971dd2fcdfb416691c52202a4bc36abfc', '3da47061be346dceb81c9c053414fe765efa8c0b']	2004.0
3	a2d449d135986cdc6415669d5ddaafccaae0d964	18827891	Neurocircuitry models of posttraumatic stress disorder and beyond: A meta-analysis of functional neuroimaging studies	Over the past two decades a relatively large number of studies have investigated the functional neuroanatomy of posttraumatic stress disorder (PTSD). However, findings are often inconsistent, thus challenging traditional neurocircuitry models of PTSD. As evidence mounts that cognition and behavior is an emergent property of interacting brain networks, the question arises whether PTSD can be understood by examining dysfunction in large-scale, spatially distributed neural networks. We used the activation likelihood estimation quantitative meta-analytic technique to synthesize findings across functional neuroimaging studies of PTSD that either used a non-trauma (N=20) or trauma-exposed (N=19) comparison control group. In line with neurocircuitry models, our findings support hyperactive amygdala and hypoactive medial prefrontal regions, but suggest hyperactive hippocampi. Characterization of additional regions under a triple network model showed functional alterations that largely overlapped with the salience network, central executive network, and default network. However, heterogeneity was observed within and across the neurocircuitry and triple network models, and between results based on comparisons to non-trauma and trauma-exposed control groups. Nonetheless, these results warrant further exploration of the neurocircuitry and large-scale network models in PTSD using connectivity analyses.	['48322281', '2836333', '4807594', '2587128']	[]	['9070979e5b3f1b89cc5d253a1ae4a70532d6a42b', '51db99065b291c1ebea7e6778c66e06f1c76b874', 'db1d6a08c8add4868c5aa6c4d2ea22364be4fb8e', '1bf62a279ca4582c9e48ce6a5b36520c4e58a7d9', '42f27102d03c7bbd4a7676a1832c96d24ef6e37c', 'f43ca2f240bd0531a97493e9d75c484ca47d4c87', '7ba4fa131239da81d9a3333c840cda39929a7da6', '0900659d59eb797d89dc505f3e8ca4f1fa94eda0', '636b2372971d2b24f2ad11064222309ea79e85f2', 'e6bac3713d12c8522016ee46ef53a4cce7df4dc7']	2012.0
4	f6cc7828f9bd7399cf7f8a339b805186e2467531	13692007	aluminum alloys ; strengthening mechanisms and heat treatment : a review		[]	[]	['f9dc66a96a9a3e6993e4427798a6850b114b7518']	
5	aa23d33983b1abd2d8a677040eb875e93c478a7f	7316529	Measuring the Objectness of Image Windows	We present a generic objectness measure, quantifying how likely it is for an image window to contain an object of any class. We explicitly train it to distinguish objects with a well-defined boundary in space, such as cows and telephones, from amorphous background elements, such as grass and road. The measure combines in a Bayesian framework several image cues measuring characteristics of objects, such as appearing different from their surroundings and having a closed boundary. These include an innovative cue to measure the closed boundary characteristic. In experiments on the challenging PASCAL VOC 07 dataset, we show this new cue to outperform a state-of-the-art saliency measure, and the combined objectness measure to perform better than any cue alone. We also compare to interest point operators, a HOG detector, and three recent works aiming at automatic object segmentation. Finally, we present two applications of objectness. In the first, we sample a small numberof windows according to their objectness probability and give an algorithm to employ them as location priors for modern class-specific object detectors. As we show experimentally, this greatly reduces the number of windows evaluated by the expensive class-specific model. In the second application, we use objectness as a complementary score in addition to the class-specific model, which leads to fewer false positives. As shown in several recent papers, objectness can act as a valuable focus of attention mechanism in many other applications operating on image windows, including weakly supervised learning of object categories, unsupervised pixelwise segmentation, and object tracking in video. Computing objectness is very efficient and takes only about 4 sec. per image.	['2365442', '1879646', '1749692']	[]	['0ec48ac86456cea3d6d6172ca81ef68e98b21a61', '3bfeecf1123829293384d5342324bc50943cdd24', '31864e13a9b3473ebb07b4f991f0ae3363517244', '60326087fc907a58ba52598acf52bab42d1a96e0', '4f847b4ddc105d73bc78f3e7220e6c1f71a7dfb6', '3b5352bca16bb6272b06124db9ade5bf4d949ff6', '0d38869a8c0ae218ccc0f20065da27b9cf405ace', '49a7ff6c753a79ed063fe2c4bf3eca3fa03c2f7e', '814f01b22373d158732d8cec30d519d7e0a2c655', '14e9e269c99850c47560e54d310b4954d9efbb50']	2012.0
6	12644d51a8ccbdc092ea322907989c098bd16813	9391992	Web question answering: is more always better?	This paper describes a question answering system that is designed to capitalize on the tremendous amount of data that is now available online. Most question answering systems use a wide variety of linguistic resources. We focus instead on the redundancy available in large corpora as an important resource. We use this redundancy to simplify the query rewrites that we need to use, and to support answer mining from returned snippets. Our system performs quite well given the simplicity of the techniques being utilized. Experimental results show that question answering accuracy can be greatly improved by analyzing more and more matching passages. Simple passage ranking and n-gram extraction techniques work well in our system making it efficient to use with many backend retrieval engines.	['1728602', '2339397', '1747743', '1689752', '1701538']	[]	['122ab8ab9a7661748ff8719c5f90df6ab279f738', '090c44c0cd43c2de91d385810ead6c6c25d3d815', '39dc4445a0aff0e2c5af8dbc430893e2e6520164', '12fc6f855f58869cf81743b9be0df1380c17f4d0', '3c0d94608ce09f481cb9532f0784e76bec3e2993', 'ccbac10f6d5dc6da260f4cb70de634db3ac6edb7', 'd489afeafdec0dbc223063be57255b180f1b5ffc', '03a1cf16053deadf60801ee7808d31d2ee0c45ea', '35357e130c46ececd48933c7bd0304ecd833ef69', '160285998b31b11788182da282a1dc6f1e1b40f2']	2002.0
7	c2a7e9cc6f929ba324d17fc922728ff4f5aa2393	5544272	Building Virtual Reality Environments for Distance Education on the Web: A Case Study in Medical Education	The paper presents an investigation into the role of virtual reality and web technologies in the field of distance education. Within this frame, special emphasis is given on the building of web-based virtual learning environments so as to successfully fulfill their educational objectives. In particular, basic pedagogical methods are studied, focusing mainly on the efficient preparation, approach and presentation of learning content, and specific designing rules are presented considering the hypermedia, virtual and educational nature of this kind of applications. The paper also aims to highlight the educational benefits arising from the use of virtual reality technology in medicine and study the emerging area of web-based medical simulations. Finally, an innovative virtual reality environment for distance education in medicine is demonstrated. The proposed environment reproduces conditions of the real learning process and enhances learning through a real-time interactive simulator. Keywords—Distance education, medicine, virtual reality, web.	['2296506', '1844209', '1731450']	[]	['b7833e2ab51a27699a1e4ca046e23f1bdbf9ebb0', '50f6fe9d7fdbeae5a13986ae6fd6b4cd50314ece', '7caacf7fa4b22fde479b5aaf028073013aced509', '720223a2ebf8adb97282a269c9d1891b2c2b332b', '69bb168ec4a7965f60bd1f0f349a4be5216175f9', '2e37060e171ce64c7c3ecef23b174fdffee29f88', '9cc610a4502e811ce1cefad8541177b7d978ac6a', '533f0b2809d068af0fb9b41628cf17694bdf04d8', '303fdafa3bdc11f603afb41906a8c6bc8e6537b9', '726730fa98d11b1b2f691f9f9f3f000b81c2bff0']	2007.0
8	76b4eeb61615a18870887da4af5ed7ca8aa6b743	8016966	Brain Tumor Segmentation Using Large Receptive Field Deep Convolutional Neural Networks		['7886986', '3521962', '2076705', '2685024', '2707080', '3152304', '5233530']	[]	[]	2017.0
9	280c04327dbf71727cc1785e8cde73c836b6838d	10265191	Cognitive Architectures for Sensory Processing	This paper describes our efforts to design a cognitive architecture for object recognition in video. Unlike most efforts in computer vision, our work proposes a Bayesian approach to object recognition in video, using a hierarchical, distributed architecture of dynamic processing elements that learns in a self-organizing way to cluster objects in the video input. A biologically inspired innovation is to implement a top-down pathway across layers in the form of causes, creating effectively a bidirectional processing architecture with feedback. To simplify discrimination, overcomplete representations are utilized. Both inference and parameter learning are performed using empirical priors, while imposing appropriate sparseness constraints. Preliminary results show that the cognitive architecture has features that resemble the functional organization of the early visual cortex. One example showing the use of top-down connections is given to disambiguate a synthetic video from correlated noise.	['1686249', '2540631']	[]	['373f76633cc1f6c7a421e31c989842021a52fca4', '17581c1b2d6ffa966a9e69f289c166cb141d3503', '3df18492c4a4b91b28566d4fd6c88f5d97a52164', '586d7b215d1174f01a1dc2f6abf6b2eb0f740ab6', '1a014a076cac3c7f5d81a084e296c095f9230437', 'e8f811399746c059bf4d4c3d43334045e0222209', '60b720ea685581f7ffdba096641b4459a8381a8b', '23fc154ea81fc5881e7986c9d62da6eba887b7a1', '03cb609fcfce6c60cbe3eb0dd8254069bf6d7573', 'aefc7c708269b874182a5c877fb6dae06da210d4']	2014.0
