query	53 references	8595 citations	Show, Attend and Tell: Neural Image Caption Generation with Visual Attention
reference	1055111	623318	976	Describing Videos by Exploiting Temporal Structure
reference	1055111	1930231	1810	DRAW: A Recurrent Neural Network For Image Generation
reference	1055111	14814581	936	Multiple Object Recognition with Visual Attention
reference	1055111	6628106	117860	Adam: A Method for Stochastic Optimization
reference	1055111	3509328	1131	Deep Captioning with Multimodal Recurrent Neural Networks (m-RNN)
reference	1055111	8517067	4885	Deep Visual-Semantic Alignments for Generating Image Descriptions
reference	1055111	18028513	184	Learning a Recurrent Visual Representation for Image Caption Generation
reference	1055111	9254582	1215	From captions to visual concepts and back
reference	1055111	1169492	5165	Show and tell: A neural image caption generator
reference	1055111	5736847	5449	Long-term recurrent convolutional networks for visual recognition and description
reference	1055111	7732372	1199	Unifying Visual-Semantic Embeddings with Multimodal Neural Language Models
reference	1055111	13344783	251	TreeTalk: Composition and Compression of Trees for Image Descriptions
reference	1055111	206592484	35845	Going deeper with convolutions
reference	1055111	7961699	17292	Sequence to Sequence Learning with Neural Networks
reference	1055111	17719760	2310	Recurrent Neural Network Regularization
reference	1055111	14124313	78019	Very Deep Convolutional Networks for Large-Scale Image Recognition
reference	1055111	11212020	23025	Neural Machine Translation by Jointly Learning to Align and Translate
reference	1055111	2930547	31008	ImageNet Large Scale Visual Recognition Challenge
reference	1055111	17195923	2995	Recurrent Models of Visual Attention
reference	1055111	12365096	630	Multimodal Neural Language Models
reference	1055111	5590763	18429	Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
reference	1055111	5923323	1597	Meteor Universal: Language Specific Translation Evaluation for Any Target Language
reference	1055111	13289663	263	The dropout learning algorithm
reference	1055111	14113767	27556	Microsoft COCO: Common Objects in Context
reference	1055111	3104920	1734	From image descriptions to visual denotations: New similarity metrics for semantic inference over event descriptions
reference	1055111	1152498	207	Input Warping for Bayesian Optimization of Non-Stationary Functions
reference	1055111	16895865	4483	Stochastic Backpropagation and Approximate Inference in Deep Generative Models
reference	1055111	216078090	22062	Auto-Encoding Variational Bayes
reference	1055111	16440891	86	Learning Generative Models with Visual Attention
reference	1055111	1870512	897	How to Construct Deep Recurrent Neural Networks
reference	1055111	10282227	279	Image Description using Visual Dependency Representations
reference	1055111	12639289	1358	Recurrent Continuous Translation Models
reference	1055111	1697424	3564	Generating Sequences With Recurrent Neural Networks
reference	1055111	928608	1082	Framing Image Description as a Ranking Task: Data, Models and Evaluation Metrics (Extended Abstract)
reference	1055111	63260316	202	Technical Report 2012
reference	1055111	195908774	98221	ImageNet classification with deep convolutional neural networks
reference	1055111	8180128	1405	Theano: new features and speed improvements
reference	1055111	10315654	351	Collective Generation of Natural Image Descriptions
reference	1055111	632197	6118	Practical Bayesian Optimization of Machine Learning Algorithms
reference	1055111	2972357	430	Midge: Generating Image Descriptions From Computer Vision Detections
reference	1055111	6661488	197	Learning Where to Attend with Deep Architectures for Image Tracking
reference	1055111	1539668	393	Corpus-Guided Sentence Generation of Natural Images
reference	1055111	10702193	362	Composing Simple Image Descriptions using Web-scale N-grams
reference	1055111	10116609	1038	Baby talk: Understanding and generating simple image descriptions
reference	1055111	9634512	413	Learning to combine foveal glimpses with a third-order Boltzmann machine
reference	1055111	1540678	10916	Control of goal-directed and stimulus-driven attention in the brain
reference	1055111	7317294	222	The Optimal Reward Baseline for Gradient-Based Reinforcement Learning
reference	1055111	1915014	64753	Long Short-Term Memory
reference	1055111	2332513	6769	Simple statistical gradient-following algorithms for connectionist reinforcement learning
reference	1055111	6844431	33391	Dropout: a simple way to prevent neural networks from overfitting
reference	1055111	6740010	935	The Dynamic Representation of Scenes
reference	1055111	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Lecture 6.5 - RMSProp', 'citationCount': None}
reference	1055111	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Theano: a CPU and GPU math expression compiler', 'citationCount': None}
citation	1055111	258594668	0	Dual-Spatial Normalized Transformer for image captioning
citation	1055111	259203790	0	Dense Video Object Captioning from Disjoint Supervision
citation	1055111	259203473	0	KiUT: Knowledge-injected U-Transformer for Radiology Report Generation
citation	1055111	259203168	0	GraphGLOW: Universal and Generalizable Structure Learning for Graph Neural Networks
citation	1055111	259164765	0	Towards AGI in Computer Vision: Lessons Learned from GPT and Large Language Models
citation	1055111	259164363	0	Top-Down Viewing for Weakly Supervised Grounded Image Captioning
citation	1055111	259112614	0	CMMT: Cross-Modal Meta-Transformer for Video-Text Retrieval
citation	1055111	259112735	0	Multi-Label Meta Weighting for Long-Tailed Dynamic Scene Graph Generation
citation	1055111	259112741	0	Video Retrieval for Everyday Scenes With Common Objects
citation	1055111	259129379	0	Customizing General-Purpose Foundation Models for Medical Report Generation
citation	1055111	259129555	0	Multimodal Explainable Artificial Intelligence: A Comprehensive Review of Methodological Advances and Future Research Directions
citation	1055111	259120151	0	Image caption generation based on object detection and knowledge enhancement
citation	1055111	259146113	0	WRANet: wavelet integrated residual attention U-Net network for medical image segmentation
citation	1055111	259108635	0	2D Object Detection with Transformers: A Review
citation	1055111	257361053	0	Structural representative network for remote sensing image captioning
citation	1055111	259088987	0	On the Role of Attention in Prompt-tuning
citation	1055111	259089019	0	Towards Adaptable and Interactive Image Captioning with Data Augmentation and Episodic Memory
citation	1055111	259089361	0	Putting Humans in the Image Captioning Loop
citation	1055111	259075367	0	ROME: Testing Image Captioning Systems via Recursive Object Melting
citation	1055111	211477960	27	Attention and Long Short-Term Memory Network for Remaining Useful Lifetime Predictions of Turbofan Engine Degradation
citation	1055111	258530639	0	Multi-Modal Food Classification in a Diet Tracking System with Spoken and Visual Inputs
citation	1055111	258533470	0	Estimation of Visual Contents from Human Brain Signals via VQA Based on Brain-Specific Attention
citation	1055111	258534452	0	Binauralization Robust To Camera Rotation Using 360° Videos
citation	1055111	258534686	0	Visual Graph Reasoning Network
citation	1055111	258535013	0	Decoupled Visual Causality for Robust Detection
citation	1055111	258537447	0	Divcon: Learning Concept Sequences for Semantically Diverse Image Captioning
citation	1055111	258539088	0	End-to-End Non-Autoregressive Image Captioning
citation	1055111	259075891	0	MoviePuzzle: Visual Narrative Reasoning through Multimodal Order Learning
citation	1055111	259064725	0	Pneumonia detection with QCSA network on chest X-ray
citation	1055111	259075530	0	Table and Image Generation for Investigating Knowledge of Entities in Pre-trained Vision and Language Models
citation	1055111	259075483	0	Recent Advances of Local Mechanisms in Computer Vision: A Survey and Outlook of Recent Work
citation	1055111	247918049	1	Deep Reconstruction of 3-D Human Poses From Video
citation	1055111	258999271	0	Using Genetic Programming to Build Self-Adaptivity into Software-Defined Networks
citation	1055111	259000001	0	"Let's not Quote out of Context": Unified Vision-Language Pretraining for Context Assisted Image Captioning
citation	1055111	259022411	0	Federated Learning on Multimodal Data: A Comprehensive Survey
citation	1055111	259004375	1	LMDA-Net:A lightweight multi-dimensional attention network for general EEG-based brain-computer interfaces and interpretability
citation	1055111	254341992	1	Multi-Granularity Aggregation Transformer for Joint Video-Audio-Text Representation Learning
citation	1055111	258987570	0	Cross-Domain Car Detection Model with Integrated Convolutional Block Attention Mechanism
citation	1055111	259209374	0	The multi-modal fusion in visual question answering: a review of attention mechanisms
citation	1055111	258959340	0	HGT: A Hierarchical GCN-Based Transformer for Multimodal Periprosthetic Joint Infection Diagnosis Using CT Images and Text
citation	1055111	258967358	0	GBG++: A Fast and Stable Granular Ball Generation Method for Classification
citation	1055111	259089180	0	A Survey on Learning Objects' Relationship for Image Captioning
citation	1055111	258960254	0	FuseCap: Leveraging Large Language Models to Fuse Visual Data into Enriched Image Captions
citation	1055111	258911597	0	Multimodal Recipe Recommendation System Using Deep Learning and Rule-Based Approach
citation	1055111	258947362	0	S4M: Generating Radiology Reports by A Single Model for Multiple Body Parts
citation	1055111	258888004	0	HAAV: Hierarchical Aggregation of Augmented Views for Image Captioning
citation	1055111	258887619	0	Refocusing Is Key to Transfer Learning
citation	1055111	258832328	1	DiffCap: Exploring Continuous Diffusion on Image Captioning
citation	1055111	259187917	0	Evolutionary Algorithms in the Light of SGD: Limit Equivalence, Minima Flatness, and Transfer Learning
citation	1055111	258823258	0	LLM Itself Can Read and Generate CXR Images
citation	1055111	258762230	0	Emergent Communication with Attention
citation	1055111	258766442	0	A survey on automatic generation of medical imaging reports based on deep learning
citation	1055111	258765588	0	G-DAIC: A Gaze Initialized Framework for Description and Aesthetic-Based Image Cropping
citation	1055111	258764558	0	TransWeaver: Weave Image Pairs for Class Agnostic Common Object Detection
citation	1055111	258741218	1	A Video Is Worth 4096 Tokens: Verbalize Story Videos To Understand Them In Zero Shot
citation	1055111	258686489	0	Edit As You Wish: Video Description Editing with Multi-grained Commands
citation	1055111	258729755	0	Dimensional emotion recognition based on two stream CNN fusion attention mechanism
citation	1055111	258685336	0	Mask to reconstruct: Cooperative Semantics Completion for Video-text Retrieval
citation	1055111	258676158	0	Automatic Radiology Report Generation by Learning with Increasingly Hard Negatives
citation	1055111	258762424	0	Learning the Visualness of Text Using Large Vision-Language Models
citation	1055111	258588162	0	Clothes-Invariant Feature Learning by Causal Intervention for Clothes-Changing Person Re-identification
citation	1055111	258618782	0	Focal vs Diffuse: Mechanisms of attention mediated performance enhancement in a hierarchical model of the visual system
citation	1055111	258548460	0	Reconstructing three-dimensional salinity field of the South China Sea from satellite observations
citation	1055111	258557995	0	PromptRank: Unsupervised Keyphrase Extraction Using Prompt
citation	1055111	258558701	0	Attention-Guided Transfer Learning for Identification of Filamentous Fungi Encountered in the Clinical Laboratory
citation	1055111	258528855	0	A color attention mechanism based on YES color space for skin segmentation
citation	1055111	258555356	0	Stochastic reconstruction of porous media based on attention mechanisms and multi-stage generative adversarial network
citation	1055111	259122652	0	A Study on Various Approaches Towards Non-Factoid Question Answering Systems
citation	1055111	258479994	4	Caption Anything: Interactive Image Description with Diverse Multimodal Controls
citation	1055111	258480063	0	Incremental 3D Semantic Scene Graph Prediction from RGB Sequences
citation	1055111	258480288	0	Image Captioners Sometimes Tell More Than Images They See
citation	1055111	259121461	0	Hate Speech Detection using Multimodal Meme Analysis
citation	1055111	258461216	0	Fairness in AI Systems: Mitigating gender bias from language-vision models
citation	1055111	258461612	1	Multimodal Data Augmentation for Image Captioning using Diffusion Models
citation	1055111	258461558	0	Transforming Visual Scene Graphs to Image Captions
citation	1055111	259101212	0	Efficient Still Image Action Recognition by the Combination of Ensemble Learning and Knowledge Distillation
citation	1055111	258858449	0	Infrared Image Caption Based on Object-Oriented Attention
citation	1055111	257904221	0	A novel nonlinear automated multi-class skin lesion detection system using soft-attention based convolutional neural networks
citation	1055111	253937490	0	Congestive Heart Failure Detection From ECG Signals Using Deep Residual Neural Network
citation	1055111	255043636	0	High accuracy intelligent real-time framework for detecting infant drowning based on deep learning
citation	1055111	258534758	1	YOLO-CIR: The network based on YOLO and ConvNeXt for infrared object detection
citation	1055111	258537896	0	Prediction of Shooting Events in Soccer Videos Using Complete Bipartite Graphs and Players’ Spatial-Temporal Relations
citation	1055111	258821830	0	Deep learning approaches to automatic radiology report generation: A systematic review
citation	1055111	259216743	0	SAR Ship Detection Based on An Improved CNN with IoU-FL and Attention Mechanism
citation	1055111	251990711	0	Adamr-Grus: Adaptive Momentum-Based Regularized Gru for Hmer Problems
citation	1055111	258378175	0	Multimodal Graph Transformer for Multimodal Question Answering
citation	1055111	258495858	0	Channel attention-based spatial-temporal graph neural networks for traffic prediction
citation	1055111	258332048	1	Multi-Modality Deep Network for Extreme Learned Image Compression
citation	1055111	258332659	0	Multi-classification deep neural networks for identification of fish species using camera captured images
citation	1055111	258298032	1	Identifying Appropriate Intellectual Property Protection Mechanisms for Machine Learning Models: A Systematization of Watermarking, Fingerprinting, Model Access, and Attacks
citation	1055111	258298547	0	A Review of Deep Learning for Video Captioning
citation	1055111	258332184	0	Byzantine-Resilient Learning Beyond Gradients: Distributing Evolutionary Search
citation	1055111	258212604	0	TieFake: Title-Text Similarity and Emotion-Aware Fake News Detection
citation	1055111	258217740	0	Improved Image Caption Rating – Datasets, Game, and Model
citation	1055111	258217958	0	Watch Out for Updates: Understanding the Effects of Model Explanation Updates in AI-Assisted Decision Making
citation	1055111	258217991	0	“Explain What a Treemap is”: Exploratory Investigation of Strategies for Explaining Unfamiliar Chart to Blind and Low Vision Users
citation	1055111	258235046	0	On the Principles and Decisions of New Word Translation in Sino-Japan Cross-Border e-Commerce: A Study in the Context of Cross-Cultural Communication
citation	1055111	258179433	2	Causality-aware Visual Scene Discovery for Cross-Modal Question Reasoning
citation	1055111	258179419	0	Interactive and Explainable Region-guided Radiology Report Generation
citation	1055111	258179482	0	M2GNN: Metapath and Multi-interest Aggregated Graph Neural Network for Tag-based Cross-domain Recommendation
citation	1055111	258170168	0	WYTIWYR: A User Intent-Aware Framework with Multi-modal Inputs for Visualization Retrieval
citation	1055111	258078960	0	Learning Transferable Pedestrian Representation from Multimodal Information Supervision
citation	1055111	258108272	0	CLIP-Guided Vision-Language Pre-training for Question Answering in 3D Scenes
citation	1055111	258062663	0	CADNet: an advanced architecture for automatic detection of coronary artery calcification and shadow border in intravascular ultrasound (IVUS) images
citation	1055111	258066076	0	Generative image captioning in Urdu using deep learning
citation	1055111	258060211	0	ImageCaptioner2: Image Captioner for Image Captioning Bias Amplification Assessment
citation	1055111	258049178	2	DetCLIPv2: Scalable Open-Vocabulary Object Detection Pre-training via Word-Region Alignment
citation	1055111	258040970	1	Model-Agnostic Gender Debiased Image Captioning
citation	1055111	257985306	1	Improving Visual Question Answering Models through Robustness Analysis and In-Context Learning with a Chain of Basic Questions
citation	1055111	257952112	1	Towards Self-Explainability of Deep Neural Networks with Heatmap Captioning and Large-Language Models
citation	1055111	257952511	1	METransformer: Radiology Report Generation by Transformer with Multiple Learnable Expert Tokens
citation	1055111	257921928	0	Cross-Domain Image Captioning with Discriminative Finetuning
citation	1055111	257913411	1	Changes to Captions: An Attentive Network for Remote Sensing Change Captioning
citation	1055111	253343484	0	Towards Usable Neural Comment Generation via Code-Comment Linkage Interpretation: Method and Empirical Study
citation	1055111	254483571	4	Hierarchical attention neural network for information cascade prediction
citation	1055111	256452328	1	Leveraging Deep Reinforcement Learning With Attention Mechanism for Virtual Network Function Placement and Routing
citation	1055111	257138070	0	Deep H2O: Cyber attacks detection in water distribution systems using deep learning
citation	1055111	245361287	1	Region Attention Enhanced Unsupervised Cross-Domain Facial Emotion Recognition
citation	1055111	244552812	1	Context-Aware and Time-Aware Attention-Based Model for Disease Risk Prediction With Interpretability
citation	1055111	248870440	4	A Novel Deep Learning Framework Based Mask-Guided Attention Mechanism for Distant Metastasis Prediction of Lung Cancer
citation	1055111	252094233	0	An Attention-Based Cycle-Consistent Generative Adversarial Network for IoT Data Generation and Its Application in Smart Energy Systems
citation	1055111	255587726	1	Hierarchical Spatio–Temporal Graph Convolutional Networks and Transformer Network for Traffic Flow Forecasting
citation	1055111	258014189	0	RecON: Online learning for sensorless freehand 3D ultrasound reconstruction.
citation	1055111	258265051	0	Feature fusion via multi-target learning for ancient artwork captioning
citation	1055111	258035249	0	Arabic Captioning for Images of Clothing Using Deep Learning
citation	1055111	255288610	0	SCA-Net: Spatial and channel attention-based network for 3D point clouds
citation	1055111	257471304	0	SARGAN: Spatial Attention-based Residuals for Facial Expression Manipulation
citation	1055111	257804806	1	LMDA-Net: A lightweight multi-dimensional attention network for general EEG-based brain-computer interface paradigms and interpretability
citation	1055111	257805175	0	SnakeVoxFormer: Transformer-based Single Image\\Voxel Reconstruction with Run Length Encoding
citation	1055111	257851051	0	Pre-trained multilevel fuse network based on vision-conditioned reasoning and bilinear attentions for medical image visual question answering
citation	1055111	257771410	0	Medical Image Analysis using Deep Relational Learning
citation	1055111	257771612	2	X-Mesh: Towards Fast and Accurate Text-driven 3D Stylization via Dynamic Textual Guidance
citation	1055111	257771453	1	Unify, Align and Refine: Multi-Level Semantic Alignment for Radiology Report Generation
citation	1055111	257771835	0	Graph Sequence Learning for Premise Selection
citation	1055111	257757219	0	Improving Prediction Performance and Model Interpretability through Attention Mechanisms from Basic and Applied Research Perspectives
citation	1055111	257746034	0	Fine-Grained Motion Recognition in At-Home Fitness Monitoring with Smartwatch: A Comparative Analysis of Explainable Deep Neural Networks
citation	1055111	257687381	1	Top-Down Visual Attention from Analysis by Synthesis
citation	1055111	257687581	0	PointGame: Geometrically and Adaptively Masked Auto-Encoder on Point Clouds
citation	1055111	257687656	0	Taking A Closer Look at Visual Relation: Unbiased Video Scene Graph Generation with Decoupled Label Learning
citation	1055111	257755236	0	Supervised Deep Learning Techniques for Image Description: A Systematic Review
citation	1055111	257724286	5	YOLOv5s-CA: A Modified YOLOv5s Network with Coordinate Attention for Underwater Target Detection
citation	1055111	258592794	0	Handwritten OCR for word in Indic Language using Deep Networks
citation	1055111	257103037	19	Catalyzing next-generation Artificial Intelligence through NeuroAI
citation	1055111	257636561	25	A Complete Survey on Generative AI (AIGC): Is ChatGPT from GPT-4 to GPT-5 All You Need?
citation	1055111	257637111	0	Context De-confounded Emotion Recognition
citation	1055111	257663410	1	Positive-Augmented Constrastive Learning for Image and Video Captioning Evaluation
citation	1055111	257683266	0	Rethinking symbolic and visual context in Referring Expression Generation
citation	1055111	257636871	5	Sketch2Saliency: Learning to Detect Salient Objects from Human Drawings
citation	1055111	257632452	0	Multi-modal reward for visual relationships-based image captioning
citation	1055111	257632345	0	Blind Multimodal Quality Assessment: A Brief Survey and A Case Study of Low-light Images
citation	1055111	257622700	0	Rethinking White-Box Watermarks on Deep Learning Models under Neural Structural Obfuscation
citation	1055111	257622944	0	GNNFormer: A Graph-based Framework for Cytopathology Report Generation
citation	1055111	258260609	0	Image Caption Generation Related to Object Detection and Colour Recognition Using Transformer-Decoder
citation	1055111	257557637	5	Visual-Linguistic Causal Intervention for Radiology Report Generation
citation	1055111	257580169	0	Spatial-aware topic-driven-based image Chinese caption for disaster news
citation	1055111	257532371	0	PR-MCS: Perturbation Robust Metric for MultiLingual Image Captioning
citation	1055111	257505358	36	ViperGPT: Visual Inference via Python Execution for Reasoning
