query	142 references	11546 citations	Language Models are Few-Shot Learners
reference	218971783	219800227	60	All the News That’s Fit to Fabricate: AI-Generated Text as a Tool of Media Misinformation
reference	218971783	218971825	628	Language (Technology) is Power: A Critical Survey of “Bias” in NLP
reference	218971783	218869575	691	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks
reference	218971783	218487293	134	How Can We Accelerate Progress Towards Human-like Linguistic Generalization?
reference	218971783	218487109	427	UnifiedQA: Crossing Format Boundaries With a Single QA System
reference	218971783	216035815	219	Experience Grounds Language
reference	218971783	215828184	361	StereoSet: Measuring stereotypical bias in pretrained language models
reference	218971783	215828407	108	Adversarial Training for Large Neural Language Models
reference	218971783	215745290	273	Pretrained Transformers Improve Out-of-Distribution Robustness
reference	218971783	212747731	5	TTTTTackling WinoGrande Schemas
reference	218971783	211532277	180	Train Large, Then Compress: Rethinking Model Size for Efficient Training and Inference of Transformers
reference	218971783	211204736	598	REALM: Retrieval-Augmented Language Model Pre-Training
reference	218971783	211205183	467	How Much Knowledge Can You Pack into the Parameters of a Language Model?
reference	218971783	210861095	1118	Scaling Laws for Neural Language Models
reference	218971783	210861178	913	Multilingual Denoising Pre-training for Neural Machine Translation
reference	218971783	210838924	767	Exploiting Cloze-Questions for Few-Shot Text Classification and Natural Language Inference
reference	218971783	208290939	344	PIQA: Reasoning about Physical Commonsense in Natural Language
reference	218971783	207847197	109	Reducing Sentiment Bias in Language Models via Counterfactual Evaluation
reference	218971783	218560609	125	Automatic Detection of Generated Text is Easiest when Humans are Fooled
reference	218971783	207756753	559	Adversarial NLI: A New Benchmark for Natural Language Understanding
reference	218971783	204960716	4951	BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension
reference	218971783	204838007	8111	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer
reference	218971783	202788490	93	NumNet: Machine Reading Comprehension with Numerical Reasoning
reference	218971783	203627029	16	SummAE: Zero-Shot Abstractive Text Summarization using Length-Agnostic Auto-Encoders
reference	218971783	203626972	3660	DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter
reference	218971783	203592013	104	A Constructive Prediction of the Generalization Error Across Scales
reference	218971783	202888986	4125	ALBERT: A Lite BERT for Self-supervised Learning of Language Representations
reference	218971783	216080982	1211	UNITER: UNiversal Image-TExt Representation Learning
reference	218971783	202889174	378	UNITER: Learning UNiversal Image-TExt Representations
reference	218971783	202734545	39	Technical report on Conversational Question Answering
reference	218971783	202719327	1048	TinyBERT: Distilling BERT for Natural Language Understanding
reference	218971783	202660943	312	Fine-Tuning Language Models from Human Preferences
reference	218971783	202660670	798	Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism
reference	218971783	202537041	323	The Woman Worked as a Babysitter: On Biases in Language Generation
reference	218971783	201666234	201	Release Strategies and the Social Impacts of Language Models
reference	218971783	86611921	1410	Natural Questions: A Benchmark for Question Answering Research
reference	218971783	198953378	12738	RoBERTa: A Robustly Optimized BERT Pretraining Approach
reference	218971783	203595067	200	The CommitmentBank: Investigating projection in naturally occurring discourse
reference	218971783	198893658	448	WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale
reference	218971783	196181887	350	Probing Neural Network Comprehension of Natural Language Arguments
reference	218971783	195069387	5884	XLNet: Generalized Autoregressive Pretraining for Language Understanding
reference	218971783	182952848	166	GLTR: Statistical Detection and Visualization of Generated Text
reference	218971783	170078973	53	Reducing Gender Bias in Word-Level Language Models with a Gender-Equalizing Loss Function
reference	218971783	168169824	593	Defending Against Neural Fake News
reference	218971783	165163511	67	Fair Is Better than Sensational: Man Is to Doctor as Woman Is to Doctor
reference	218971783	159040000	48	Story Ending Prediction by Transferable BERT
reference	218971783	146808476	783	MASS: Masked Sequence to Sequence Pre-training for Language Generation
reference	218971783	143424870	1274	SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems
reference	218971783	159041722	411	HellaSwag: Can a Machine Really Finish Your Sentence?
reference	218971783	165163607	403	BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions
reference	218971783	195873898	1428	Unsupervised Data Augmentation for Consistency Training
reference	218971783	129945531	1011	Generating Long Sequences with Sparse Transformers
reference	218971783	127986954	1549	The Curious Case of Neural Text Degeneration
reference	218971783	128345418	124	Improving Multi-Task Deep Neural Networks via Knowledge Distillation for Natural Language Understanding
reference	218971783	73729169	428	Lipstick on a Pig: Debiasing Methods Cover up Systematic Gender Biases in Word Embeddings But do not Remove Them
reference	218971783	67855846	517	DROP: A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs
reference	218971783	67855815	374	Massively Multilingual Neural Machine Translation
reference	218971783	59599752	842	Right for the Wrong Reasons: Diagnosing Syntactic Heuristics in Natural Language Inference
reference	218971783	59523594	915	Multi-Task Deep Neural Networks for Natural Language Understanding
reference	218971783	59523704	172	Learning and Evaluating General Linguistic Intelligence
reference	218971783	58981712	2010	Cross-lingual Language Model Pretraining
reference	218971783	57759363	2505	Transformer-XL: Attentive Language Models beyond a Fixed-Length Context
reference	218971783	56262183	159	An Empirical Model of Large-Batch Training
