query	49 references	492 citations	Meshed-Memory Transformer for Image Captioning
reference	219635470	207982683	202	Entangled Transformer for Image Captioning
reference	219635470	202540514	119	Hierarchy Parsing for Image Captioning
reference	219635470	201698351	58	Reflective Decoding Network for Image Captioning
reference	219635470	201070367	515	Attention on Attention for Image Captioning
reference	219635470	195776151	83	Augmenting Self-attention with Persistent Memory
reference	219635470	189898359	271	Image Captioning: Transforming Objects into Words
reference	219635470	102483628	862	VideoBERT: A Joint Model for Video and Language Representation Learning
reference	219635470	54460890	502	Auto-Encoding Scene Graphs for Image Captioning
reference	219635470	53778132	130	Show, Control and Tell: A Framework for Generating Controllable and Grounded Captions
reference	219635470	52304560	642	Exploring Visual Relationship for Image Captioning
reference	219635470	50786845	195	Recurrent Fusion Network for Image Captioning
reference	219635470	4406645	373	Neural Baby Talk
reference	219635470	35543299	288	Convolutional Image Captioning
reference	219635470	3292002	9132	Graph Attention Networks
reference	219635470	3753452	3082	Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering
reference	219635470	13756489	59973	Attention is All you Need
reference	219635470	16747630	3426	Axiomatic Attribution for Deep Networks
reference	219635470	18347865	1187	Knowing When to Look: Adaptive Attention via a Visual Sentinel for Image Captioning
reference	219635470	15143565	177	Areas of Attention for Image Captioning
reference	219635470	206594923	1353	Self-Critical Sequence Training for Image Captioning
reference	219635470	9662636	168	Guided Open Vocabulary Image Captioning with Constrained Beam Search
reference	219635470	3873857	342	Improved Image Captioning via Policy Gradient optimization of SPIDEr
reference	219635470	8289133	733	Show and Tell: Lessons Learned from the 2015 MSCOCO Image Captioning Challenge
reference	219635470	11933981	1271	SPICE: Semantic Propositional Image Caption Evaluation
reference	219635470	3120635	1441	Image Captioning with Semantic Attention
reference	219635470	4492210	3755	Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations
reference	219635470	206594692	131497	Deep Residual Learning for Image Recognition
reference	219635470	14521054	1020	DenseCap: Fully Convolutional Localization Networks for Dense Captioning
reference	219635470	7147309	1400	Sequence Level Training with Recurrent Neural Networks
reference	219635470	10328909	43782	Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks
reference	219635470	1055111	8595	Show, Attend and Tell: Neural Image Caption Generation with Visual Attention
reference	219635470	13740328	15181	Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification
reference	219635470	6628106	117860	Adam: A Method for Stochastic Optimization
reference	219635470	8517067	4885	Deep Visual-Semantic Alignments for Generating Image Descriptions
reference	219635470	9026666	2889	CIDEr: Consensus-based image description evaluation
reference	219635470	5736847	5449	Long-term recurrent convolutional networks for visual recognition and description
reference	219635470	1169492	5165	Show and tell: A neural image caption generator
reference	219635470	1957433	26793	GloVe: Global Vectors for Word Representation
reference	219635470	14113767	27556	Microsoft COCO: Common Objects in Context
reference	219635470	6023198	304	I2T: Image Parsing to Text Description
reference	219635470	9197086	238	Connecting modalities: Semi-supervised segmentation and annotation of images using unaligned text corpora
reference	219635470	5575601	14832	Understanding the difficulty of training deep feedforward neural networks
reference	219635470	7164502	3840	METEOR: An Automatic Metric for MT Evaluation with Improved Correlation with Human Judgments
reference	219635470	964287	9150	ROUGE: A Package for Automatic Evaluation of Summaries
reference	219635470	11080756	19934	Bleu: a Method for Automatic Evaluation of Machine Translation
reference	219635470	52967399	53786	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
reference	219635470	56517630	172	nocaps: novel object captioning at scale
reference	219635470	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'The Open Images Dataset V4: Unified image classification, object detection, and visual relationship detection at scale', 'citationCount': None}
reference	219635470	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Polysemous visualsemantic embedding for cross-modal retrieval', 'citationCount': None}
citation	219635470	259203473	0	KiUT: Knowledge-injected U-Transformer for Radiology Report Generation
citation	219635470	259164363	0	Top-Down Viewing for Weakly Supervised Grounded Image Captioning
citation	219635470	259113798	0	Seismic prediction of porosity in tight reservoirs based on transformer
citation	219635470	259129746	1	Embodied Executable Policy Learning with Language-based Scene Summarization
citation	219635470	259089361	0	Putting Humans in the Image Captioning Loop
citation	219635470	259075726	0	Dynamic Interactive Relation Capturing via Scene Graph Learning for Robotic Surgical Report Generation
citation	219635470	259000001	0	"Let's not Quote out of Context": Unified Vision-Language Pretraining for Context Assisted Image Captioning
citation	219635470	259089180	0	A Survey on Learning Objects' Relationship for Image Captioning
citation	219635470	258947362	0	S4M: Generating Radiology Reports by A Single Model for Multiple Body Parts
citation	219635470	258888004	0	HAAV: Hierarchical Aggregation of Augmented Views for Image Captioning
citation	219635470	258832384	0	A request for clarity over the End of Sequence token in the Self-Critical Sequence Training
citation	219635470	258833472	0	Cross2StrA: Unpaired Cross-lingual Image Captioning with Cross-lingual Cross-modal Structure-pivoted Alignment
citation	219635470	259095550	0	CLIP-VG: Self-paced Curriculum Adapting of CLIP for Visual Grounding
citation	219635470	258639810	0	From Softmax to Nucleusmax: A Novel Sparse Language model for Chinese Radiology Report Summarization
citation	219635470	258615242	0	Image-to-Text Translation for Interactive Image Recognition: A Comparative User Study with Non-Expert Users
citation	219635470	258557717	0	Boosting Radiology Report Generation by Infusing Comparison Prior
citation	219635470	258556969	0	UIT-OpenViIC: A Novel Benchmark for Evaluating Image Captioning in Vietnamese
citation	219635470	258461558	0	Transforming Visual Scene Graphs to Image Captions
citation	219635470	258858449	0	Infrared Image Caption Based on Object-Oriented Attention
citation	219635470	258504649	0	Deep Image Captioning: A Review of Methods, Trends and Future Challenges
citation	219635470	258821830	0	Deep learning approaches to automatic radiology report generation: A systematic review
citation	219635470	257723350	0	Generating Emotion Descriptions for Fine Art Paintings Via Multiple Painting Representations
citation	219635470	258418343	11	LLaMA-Adapter V2: Parameter-Efficient Visual Instruction Model
citation	219635470	258258052	0	Describe, Spot and Explain: Interpretable Representation Learning for Discriminative Visual Reasoning
citation	219635470	258179419	0	Interactive and Explainable Region-guided Radiology Report Generation
citation	219635470	258073357	0	Radiology report generation using transformers conditioned with non-imaging data
citation	219635470	257952511	1	METransformer: Radiology Report Generation by Transformer with Multiple Learnable Expert Tokens
citation	219635470	259028453	0	Attending to Transforms: A Survey on Transformer-based Image Captioning
citation	219635470	257994428	0	Multi-Modal Fake News Detection via Bridging the Gap between Modals
citation	219635470	257805175	0	SnakeVoxFormer: Transformer-based Single Image\\Voxel Reconstruction with Run Length Encoding
citation	219635470	257833577	0	Multimodal Image-Text Matching Improves Retrieval-based Chest X-Ray Report Generation
citation	219635470	257771453	1	Unify, Align and Refine: Multi-Level Semantic Alignment for Radiology Report Generation
citation	219635470	257766776	2	Zero-Shot Composed Image Retrieval with Textual Inversion
citation	219635470	257755236	0	Supervised Deep Learning Techniques for Image Description: A Systematic Review
citation	219635470	257663410	1	Positive-Augmented Constrastive Learning for Image and Video Captioning Evaluation
citation	219635470	257622944	0	GNNFormer: A Graph-based Framework for Cytopathology Report Generation
citation	219635470	257496352	1	ZeroNLG: Aligning and Autoencoding Domains for Zero-Shot Multimodal and Multilingual Natural Language Generation
citation	219635470	257496497	0	SPOTR: Spatio-temporal Pose Transformers for Human Motion Prediction
citation	219635470	257449322	0	A multimodal dialogue system for improving user satisfaction via knowledge-enriched response and image recommendation
citation	219635470	257378523	0	Graph Neural Networks in Vision-Language Image Understanding: A Survey
citation	219635470	257365705	0	Comparative study of Transformer and LSTM Network with attention mechanism on Image Captioning
citation	219635470	257365573	3	ConZIC: Controllable Zero-shot Image Captioning by Sampling-Based Polishing
citation	219635470	257683248	4	Vision–Language Model for Visual Question Answering in Medical Imagery
citation	219635470	257296801	0	Semantic enhancement methods for image captioning
citation	219635470	259123166	0	Image Dense Captioning of Irregular Regions Based on Visual Saliency
citation	219635470	257106495	0	LG-MLFormer: local and global MLP for image captioning
citation	219635470	257169742	0	Context-aware and co-attention network based image captioning model
citation	219635470	256901128	1	Retrieval-augmented Image Captioning
citation	219635470	257050403	0	See Your Heart: Psychological states Interpretation through Visual Creations
citation	219635470	256632251	1	Image caption generation using Visual Attention Prediction and Contextual Spatial Relation Extraction
citation	219635470	256658643	1	Sentimental Visual Captioning using Multimodal Transformer
citation	219635470	257432444	0	A Survey on Causal Inference in Image Captioning
citation	219635470	256597954	0	DEVICE: DEpth and VIsual ConcEpts Aware Transformer for TextCaps
