query	44 references	461 citations	VinVL: Revisiting Visual Representations in Vision-Language Models
reference	235692795	221995614	49	VIVO: Surpassing Human Performance in Novel Object Captioning with Visual Vocabulary Pre-Training
reference	235692795	220265934	238	ERNIE-ViL: Knowledge Enhanced Vision-Language Representations Through Scene Graph
reference	235692795	219708318	166	FCOS: A Simple and Strong Anchor-Free Object Detector
reference	235692795	219573512	295	Large-Scale Adversarial Training for Vision-and-Language Representation Learning
reference	235692795	215754208	1103	Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks
reference	235692795	214727638	297	X-Linear Attention Networks for Image Captioning
reference	235692795	214713564	51	InterBERT: Vision-and-Language Interaction for Multi-modal Pretraining
reference	235692795	210156985	199	In Defense of Grid Features for Visual Question Answering
reference	235692795	208637516	370	12-in-1: Multi-Task Vision and Language Representation Learning
reference	235692795	207967883	282	Objects365: A Large-Scale, High-Quality Dataset for Object Detection
reference	235692795	203902269	43	Meta Module Network for Compositional Visual Reasoning
reference	235692795	202889174	378	UNITER: Learning UNiversal Image-TExt Representations
reference	235692795	202734445	582	Unified Vision-Language Pre-Training for Image Captioning and VQA
reference	235692795	202565460	189	CAMP: Cross-Modal Adaptive Message Passing for Text-Image Retrieval
reference	235692795	201317624	1142	VL-BERT: Pre-training of Generic Visual-Linguistic Representations
reference	235692795	201103729	1539	LXMERT: Learning Cross-Modality Encoder Representations from Transformers
reference	235692795	201070367	515	Attention on Attention for Image Captioning
reference	235692795	201058752	603	Unicoder-VL: A Universal Encoder for Vision and Language by Cross-modal Pre-training
reference	235692795	199528533	1127	VisualBERT: A Simple and Performant Baseline for Vision and Language
reference	235692795	199453025	2163	ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks
reference	235692795	199466137	48	Knowledge Aware Semantic Concept Expansion for Image-Text Matching
reference	235692795	198179796	119	Position Focused Attention Network for Image-Text Matching
reference	235692795	195847902	192	Learning by Abstraction: The Neural State Machine
reference	235692795	152282269	695	GQA: A New Dataset for Real-World Visual Reasoning and Compositional Question Answering
reference	235692795	53178856	343	A Corpus for Reasoning about Natural Language Grounded in Photographs
reference	235692795	51876975	1191	Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning
reference	235692795	3994012	752	Stacked Cross Attention for Image-Text Matching
reference	235692795	49867191	253	Dual-path Convolutional Image-Text Embeddings with Instance Loss
reference	235692795	47252984	14211	Focal Loss for Dense Object Detection
reference	235692795	206771220	4099	Focal Loss for Dense Object Detection
reference	235692795	3753452	3082	Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering
reference	235692795	195347576	168	VSE++: Improved Visual-Semantic Embeddings
reference	235692795	10716717	14176	Feature Pyramid Networks for Object Detection
reference	235692795	8081284	1660	Making the V in VQA Matter: Elevating the Role of Image Understanding in Visual Question Answering
reference	235692795	206594923	1353	Self-Critical Sequence Training for Image Captioning
reference	235692795	4492210	3755	Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations
reference	235692795	8849206	1682	Stacked Attention Networks for Image Question Answering
reference	235692795	8517067	4885	Deep Visual-Semantic Alignments for Generating Image Descriptions
reference	235692795	9254582	1215	From captions to visual concepts and back
reference	235692795	14113767	27556	Microsoft COCO: Common Objects in Context
reference	235692795	3104920	1734	From image descriptions to visual denotations: New similarity metrics for semantic inference over event descriptions
reference	235692795	14579301	989	Im2Text: Describing Images Using 1 Million Captioned Photographs
reference	235692795	56517630	172	nocaps: novel object captioning at scale
reference	235692795	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'The open images dataset v4: Unified image classification, object detection, and visual relationship detection at scale', 'citationCount': None}
