query	57 references	534 citations	BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation
reference	246411402	245329792	65	Align and Prompt: Video-and-Language Pre-training with Entity Prompts
reference	246411402	244527510	97	Scaling Up Vision-Language Pretraining for Image Captioning
reference	246411402	241033103	356	LAION-400M: Open Dataset of CLIP-Filtered 400 Million Image-Text Pairs
reference	246411402	238215257	180	VideoCLIP: Contrastive Pre-training for Zero-shot Video-Text Understanding
reference	246411402	237291550	369	SimVLM: Simple Visual Language Model Pretraining with Weak Supervision
reference	246411402	236034189	579	Align before Fuse: Vision and Language Representation Learning with Momentum Distillation
reference	246411402	232478955	293	Frozen in Time: A Joint Video and Image Encoder for End-to-End Retrieval
reference	246411402	231591445	5690	Learning Transferable Visual Models From Natural Language Supervision
reference	246411402	231951742	348	Conceptual 12M: Pushing Web-Scale Image-Text Pre-Training To Recognize Long-Tail Visual Concepts
reference	246411402	231880022	317	Less is More: CLIPBERT for Video-and-Language Learning via Sparse Sampling
reference	246411402	231879586	1198	Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision
reference	246411402	231861462	821	Is Space-Time Attention All You Need for Video Understanding?
reference	246411402	231802355	268	Unifying Vision-and-Language Tasks via Text Generation
reference	246411402	231839613	614	ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision
reference	246411402	230435588	111	VinVL: Making Visual Representations Matter in Vision-Language Models
reference	246411402	229924402	220	UNIMO: Towards Unified-Modal Understanding and Generation via Cross-Modal Contrastive Learning
reference	246411402	229363322	2914	Training data-efficient image transformers & distillation through attention
reference	246411402	227238996	114	Just Ask: Learning to Answer Questions from Millions of Narrated Videos
reference	246411402	225039882	13505	An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale
reference	246411402	222142276	159	Support-set bottlenecks for video-text representation learning
reference	246411402	219573512	295	Large-Scale Adversarial Training for Vision-and-Language Representation Learning
reference	246411402	219617394	287	ActBERT: Learning Global-Local Video-Text Representations
reference	246411402	216562638	67	VD-BERT: A Unified Vision and Dialog Transformer with BERT
