query	172 references	583 citations	Flamingo: a Visual Language Model for Few-Shot Learning
reference	248476411	248097655	1747	Hierarchical Text-Conditional Image Generation with CLIP Latents
reference	248476411	248118752	47	What Language Model Architecture and Pretraining Objective Work Best for Zero-Shot Generalization?
reference	248476411	247951931	1317	PaLM: Scaling Language Modeling with Pathways
reference	248476411	247922520	152	Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language
reference	248476411	247839823	19	Transformer Language Models without Positional Encodings Still Learn Positional Information
reference	248476411	247778764	451	Training Compute-Optimal Large Language Models
reference	248476411	247594830	65	Teaching language models to support answers with verified quotes
reference	248476411	247447159	28	Enabling Multimodal Generation on CLIP via Vision-Language Knowledge Distillation
reference	248476411	247362886	210	Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time
reference	248476411	247155069	266	Rethinking the Role of Demonstrations: What Makes In-Context Learning Work?
reference	248476411	246634906	323	Unifying Architectures, Tasks, and Modalities Through a Simple Sequence-to-Sequence Learning Framework
reference	248476411	246634238	118	Red Teaming Language Models with Language Models
reference	248476411	246411402	534	BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation
reference	248476411	246063428	516	LaMDA: Language Models for Dialog Applications
reference	248476411	246035820	59	CM3: A Causal Masked Multimodal Model of the Internet
reference	248476411	246035184	40	ZeroPrompt: Scaling Prompt-Based Pretraining to 1, 000 Tasks Improves Zero-Shot Generalization
reference	248476411	245877811	92	Multiview Transformers for Video Recognition
reference	248476411	245837609	69	MERLOT RESERVE: Neural Script Knowledge through Vision and Language and Sound
reference	248476411	245219268	46	KAT: A Knowledge Augmented Transformer for Vision-and-Language
reference	248476411	245123737	82	VL-ADAPTER: Parameter-Efficient Transfer Learning for Vision-and-Language Tasks
reference	248476411	245117852	49	MAGMA - Multimodal Augmentation of Generative Models through Adapter-based Finetuning
reference	248476411	244954250	203	FLAVA: A Foundational Language And Vision Alignment Model
reference	248476411	245353475	484	Scaling Language Models: Methods, Analysis & Insights from Training Gopher
reference	248476411	244954639	199	Ethical and social risks of harm from Language Models
reference	248476411	244799261	43	Uni-Perceiver: Pre-training Unified Architecture for Generic Perception for Zero-shot and Few-shot Tasks
reference	248476411	244527510	97	Scaling Up Vision-Language Pretraining for Image Captioning
reference	248476411	244527662	86	VIOLET : End-to-End Video-Language Transformers with Masked Visual-token Modeling
reference	248476411	244477674	338	Florence: A New Foundation Model for Computer Vision
reference	248476411	244463149	72	Combined Scaling for Zero-shot Transfer Learning
reference	248476411	244462912	38	UFO: A UniFied TransfOrmer for Vision-Language Representation Learning
reference	248476411	244346239	202	ClipCap: CLIP Prefix for Image Captioning
reference	248476411	244270283	3	Achieving Human Parity on Visual Question Answering
reference	248476411	244117175	184	LiT: Zero-Shot Transfer with Locked-image text Tuning
reference	248476411	244117525	216	FILIP: Fine-grained Interactive Language-Image Pre-Training
reference	248476411	241035439	151	VLMo: Unified Vision-Language Pre-Training with Mixture-of-Modality-Experts
reference	248476411	241033103	356	LAION-400M: Open Dataset of CLIP-Filtered 400 Million Image-Text Pairs
reference	248476411	239009562	644	Multitask Prompted Training Enables Zero-Shot Task Generalization
reference	248476411	237593074	118	Pix2seq: A Language Modeling Framework for Object Detection
reference	248476411	237563187	47	Primer: Searching for Efficient Transformers for Language Modeling
reference	248476411	237485500	110	An Empirical Study of GPT-3 for Few-Shot Knowledge-Based VQA
reference	248476411	237490989	33	MURAL: Multimodal, Multitask Retrieval Across Languages
reference	248476411	237416585	723	Finetuned Language Models Are Zero-Shot Learners
reference	248476411	237386023	413	Learning to Prompt for Vision-Language Models
reference	248476411	237347130	115	Train Short, Test Long: Attention with Linear Biases Enables Input Length Extrapolation
reference	248476411	237291550	369	SimVLM: Simple Visual Language Model Pretraining with Weak Supervision
reference	248476411	237194840	14	Global Pooling, More than Meets the Eye: Position Information is Encoded Channel-Wise in CNNs
reference	248476411	236034189	579	Align before Fuse: Vision and Language Representation Learning with Momentum Distillation
reference	248476411	235658331	265	Multimodal Few-Shot Learning with Frozen Language Models
reference	248476411	235669751	5	Winner Team Mia at TextVQA Challenge 2021: Vision-and-Language Representation Learning with Pre-trained Sequence-to-Sequence Model
reference	248476411	231672601	318	BitFit: Simple Parameter-efficient Fine-tuning for Transformer-based Masked Language-models
reference	248476411	235446842	47	Understanding and Evaluating Racial Biases in Image Captioning
reference	248476411	235367962	443	Scaling Vision Transformers
reference	248476411	235352775	157	MERLOT: Multimodal Neural Script Knowledge Models
reference	248476411	235692795	461	VinVL: Revisiting Visual Representations in Vision-Language Models
reference	248476411	235166749	197	True Few-Shot Learning with Language Models
reference	248476411	235125628	53	VLM: Task-agnostic Video-Language Model Pre-training for Video Understanding
reference	248476411	234763093	56	NExT-QA: Next Phase of Question-Answering to Explaining Temporal Actions
reference	248476411	233296808	1069	The Power of Scale for Parameter-Efficient Prompt Tuning
reference	248476411	233181930	27	ORBIT: A Real-World Few-Shot Dataset for Teachable Object Recognition
reference	248476411	232478955	293	Frozen in Time: A Joint Video and Image Encoder for End-to-End Retrieval
reference	248476411	232110866	400	Perceiver: General Perception with Iterative Attention
reference	248476411	231591445	5690	Learning Transferable Visual Models From Natural Language Supervision
reference	248476411	235351128	62	VisualGPT: Data-efficient Adaptation of Pretrained Language Models for Image Captioning
reference	248476411	231979430	429	Calibrate Before Use: Improving Few-Shot Performance of Language Models
reference	248476411	231951742	348	Conceptual 12M: Pushing Web-Scale Image-Text Pre-Training To Recognize Long-Tail Visual Concepts
reference	248476411	231925131	220	Prompt Programming for Large Language Models: Beyond the Few-Shot Paradigm
reference	248476411	231879586	1198	Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision
reference	248476411	231879922	310	High-Performance Large-Scale Image Recognition Without Normalization
reference	248476411	231802355	268	Unifying Vision-and-Language Tasks via Text Generation
reference	248476411	231740629	65	Decoupling the Role of Data, Attention, and Losses in Multimodal Transformers
reference	248476411	231632658	319	What Makes Good In-Context Examples for GPT-3?
reference	248476411	230435736	522	The Pile: An 800GB Dataset of Diverse Text for Language Modeling
reference	248476411	229363652	42	A Multimodal Framework for the Detection of Hateful Memes
reference	248476411	229181105	47	Enhance Multimodal Transformer With External Label And In-Domain Pretrain: Hateful Meme Challenge Winning Solution
reference	248476411	227736593	76	TAP: Text-Aware Pre-training for Text-VQA and Text-Caption
reference	248476411	227238996	114	Just Ask: Learning to Answer Questions from Millions of Narrated Videos
reference	248476411	225039882	13505	An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale
reference	248476411	224819016	78	A Short Note on the Kinetics-700-2020 Human Action Dataset
reference	248476411	220936243	10	RareAct: A video dataset of unusual interactions
reference	248476411	220686825	170	CrossTransformers: spatially-aware few-shot transfer
reference	248476411	220249786	240	Self-Supervised MultiModal Versatile Networks
reference	248476411	219573658	253	VirTex: Learning Visual Representations from Textual Annotations
reference	248476411	219573512	295	Large-Scale Adversarial Training for Vision-and-Language Representation Learning
reference	248476411	219617394	287	ActBERT: Learning Global-Local Video-Text Representations
reference	248476411	218971783	11544	Language Models are Few-Shot Learners
reference	248476411	218889832	5209	End-to-End Object Detection with Transformers
reference	248476411	218581273	263	The Hateful Memes Challenge: Detecting Hate Speech in Multimodal Memes
reference	248476411	218470055	276	Hero: Hierarchical Encoder for Video+Language Omni-representation Pre-training
reference	248476411	216562638	67	VD-BERT: A Unified Vision and Dialog Transformer with BERT
reference	248476411	215754208	1103	Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks
reference	248476411	214641252	543	Rethinking Few-Shot Image Classification: a Good Embedding Is All You Need?
reference	248476411	212644626	163	ReZero is All You Need: Fast Convergence at Large Depth
reference	248476411	211132410	232	UniViLM: A Unified Video and Language Pre-Training Model for Multimodal Understanding and Generation
reference	248476411	210861095	1118	Scaling Laws for Neural Language Models
reference	248476411	209370497	477	End-to-End Learning of Visual Representations From Uncurated Instructional Videos
reference	248476411	208637304	78	Large-scale Pretraining for Visual Dialog: A Simple State-of-the-Art Baseline
reference	248476411	204838007	8111	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer
reference	248476411	203736482	392	ZeRO: Memory optimizations Toward Training Trillion Parameter Models
reference	248476411	216080982	1211	UNITER: UNiversal Image-TExt Representation Learning
reference	248476411	202734445	582	Unified Vision-Language Pre-Training for Image Captioning and VQA
reference	248476411	202660670	798	Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism
reference	248476411	201317624	1142	VL-BERT: Pre-training of Generic Visual-Linguistic Representations
reference	248476411	201103729	1539	LXMERT: Learning Cross-Modality Encoder Representations from Transformers
reference	248476411	201070367	515	Attention on Attention for Image Captioning
reference	248476411	199453025	2163	ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks
reference	248476411	190000591	152	Fast and Flexible Multi-Task Classification Using Conditional Neural Adaptive Processes
reference	248476411	189928444	311	Fixing the train-test resolution discrepancy
reference	248476411	182952863	630	HowTo100M: Learning a Text-Video Embedding by Watching Hundred Million Narrated Video Clips
reference	248476411	174802907	174	Does Object Recognition Work for Everyone?
reference	248476411	174802812	1671	Energy and Policy Considerations for Deep Learning in NLP
reference	248476411	173991173	276	OK-VQA: A Visual Question Answering Benchmark Requiring External Knowledge
reference	248476411	85553602	287	Towards VQA Models That Can Read
reference	248476411	102352148	263	VaTeX: A Large-Scale, High-Quality Multilingual Dataset for Video-and-Language Research
reference	248476411	102483628	862	VideoBERT: A Joint Model for Video and Language Representation Learning
reference	248476411	72335401	63	Doing more with less: meta-reasoning and meta-learning in humans and machines
reference	248476411	59599816	1339	Parameter-Efficient Transfer Learning for NLP
reference	248476411	59413758	270	Fast Context Adaptation via Meta-Learning
reference	248476411	52946140	996	Model Cards for Model Reporting
reference	248476411	228929635	34	Diagnosing Gender Bias in Image Recognition Systems
reference	248476411	51876975	1191	Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning
reference	248476411	53802740	188	Meta-Learning Probabilistic Inference for Prediction
reference	248476411	29153681	672	Meta-learning with differentiable closed-form solvers
reference	248476411	13756572	389	Gender Bias in Coreference Resolution
reference	248476411	4384334	362	Women also Snowboard: Overcoming Bias in Captioning Models
reference	248476411	4421027	1068	Datasheets for datasets
reference	248476411	3831582	292	VizWiz Grand Challenge: Answering Visual Questions from Blind People
reference	248476411	3298854	2774	Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification
reference	248476411	40100965	2877	Universal Language Model Fine-tuning for Text Classification
reference	248476411	3864050	247	Video Question Answering via Gradually Refined Attention over Appearance and Motion
reference	248476411	13756489	59970	Attention is All you Need
reference	248476411	309759	5048	Prototypical Networks for Few-shot Learning
reference	248476411	6719686	7744	Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks
reference	248476411	19713015	404	Towards Automatic Learning of Procedures From Web Instructional Videos
reference	248476411	206594923	1353	Self-Critical Sequence Training for Image Captioning
reference	248476411	18267923	73	Optimization of image description metrics using policy gradient methods
reference	248476411	1820614	706	Visual Dialog
reference	248476411	125617073	2043	Gaussian Error Linear Units (GELUs)
reference	248476411	2169827	414	Learning feed-forward one-shot learners
reference	248476411	8909022	5209	Matching Networks for One Shot Learning
reference	248476411	9099040	625	Low-Shot Visual Recognition by Shrinking and Hallucinating Features
reference	248476411	260422	1036	Exploring the Limits of Language Modeling
reference	248476411	3180429	3788	VQA: Visual Question Answering
reference	248476411	2210455	1587	Microsoft COCO Captions: Data Collection and Evaluation Server
reference	248476411	207230134	1211	YFCC100M: the new data in multimedia research
reference	248476411	5736847	5449	Long-term recurrent convolutional networks for visual recognition and description
reference	248476411	1169492	5165	Show and tell: A neural image caption generator
reference	248476411	2930547	31008	ImageNet Large Scale Visual Recognition Challenge
reference	248476411	3104920	1734	From image descriptions to visual denotations: New similarity metrics for semantic inference over event descriptions
reference	248476411	1697424	3564	Generating Sequences With Recurrent Neural Networks
reference	248476411	8843166	1389	Generating Text with Recurrent Neural Networks
reference	248476411	6953475	2722	One-shot learning of object categories
reference	248476411	1915014	64753	Long Short-Term Memory
reference	248476411	246431252	13	VC-GPT: Visual Conditioned GPT for End-to-End Generative Vision-and-Language Pre-training
reference	248476411	244907062	26	STAR: A Benchmark for Situated Reasoning in Real-World Videos
reference	248476411	230433941	1206	Prefix-Tuning: Optimizing Continuous Prompts for Generation
reference	248476411	232352874	6209	Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Few-shot classification by recycling deep learning. Invited Talk at the S2D-OLAD Workshop', 'citationCount': None}
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Enhancing textual cues in multi-modal transformers for VQA. VizWiz Challenge', 'citationCount': None}
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Haiku: Sonnet for JAX', 'citationCount': None}
reference	248476411	52967399	53786	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
reference	248476411	160025533	10495	Language Models are Unsupervised Multitask Learners
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Row 3: First two images are provided under license by Unsplash', 'citationCount': None}
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'JAX: composable transformations of Python+NumPy programs', 'citationCount': None}
reference	248476411	15373038	723	One shot learning of simple visual concepts
reference	248476411	17048224	5405	Recurrent neural network based language model
reference	248476411	60731136	967	Categorization and Naming in Children: Problems of Induction
reference	248476411	61019113	2773	Catastrophic Interference in Connectionist Networks: The Sequential Learning Problem
reference	248476411	59636530	1177	Probabilistic Interpretation of Feedforward Classification Network Outputs, with Relationships to Statistical Pattern Recognition
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Vatex video captioning challenge 2020: Multi-view features and hybrid reward strategies for video captioning', 'citationCount': None}
reference	248476411	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'Metadataset: A dataset of datasets for learning', 'citationCount': None}
