query	43 references	223 citations	BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models
reference	256390509	254926627	7	From Images to Textual Prompts: Zero-shot VQA with Frozen Large Language Models
reference	256390509	253510587	61	EVA: Exploring the Limits of Masked Visual Representation Learning at Scale
reference	256390509	253018554	286	Scaling Instruction-Finetuned Language Models
reference	256390509	252917791	17	Plug-and-Play VQA: Zero-shot VQA by Conjoining Large Pretrained Models with Zero Training
reference	256390509	252873086	10	MAPL: Parameter-Efficient Adaptation of Unimodal Pre-Trained Models for Vision-Language Few-Shot Prompting
reference	256390509	252222320	120	PaLI: A Jointly-Scaled Multilingual Language-Image Model
reference	256390509	251719655	231	Image as a Foreign Language: BEiT Pretraining for All Vision and Vision-Language Tasks
reference	256390509	248512473	372	CoCa: Contrastive Captioners are Image-Text Foundation Models
reference	256390509	248476411	583	Flamingo: a Visual Language Model for Few-Shot Learning
reference	256390509	247778764	451	Training Compute-Optimal Large Language Models
reference	256390509	247447159	28	Enabling Multimodal Generation on CLIP via Vision-Language Knowledge Distillation
reference	256390509	246411402	534	BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation
reference	256390509	244117175	184	LiT: Zero-Shot Transfer with Locked-image text Tuning
reference	256390509	244117525	216	FILIP: Fine-grained Interactive Language-Image Pre-Training
reference	256390509	241035439	151	VLMo: Unified Vision-Language Pre-Training with Mixture-of-Modality-Experts
reference	256390509	241033103	356	LAION-400M: Open Dataset of CLIP-Filtered 400 Million Image-Text Pairs
reference	256390509	239016231	42	A Good Prompt Is Worth Millions of Parameters: Low-resource Prompt-based Learning for Vision-Language Models
reference	256390509	237291550	369	SimVLM: Simple Visual Language Model Pretraining with Weak Supervision
reference	256390509	236034189	579	Align before Fuse: Vision and Language Representation Learning with Momentum Distillation
reference	256390509	235658331	265	Multimodal Few-Shot Learning with Frozen Language Models
reference	256390509	231591445	5690	Learning Transferable Visual Models From Natural Language Supervision
reference	256390509	235351128	62	VisualGPT: Data-efficient Adaptation of Pretrained Language Models for Image Captioning
reference	256390509	231951742	348	Conceptual 12M: Pushing Web-Scale Image-Text Pre-Training To Recognize Long-Tail Visual Concepts
reference	256390509	231879586	1198	Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision
reference	256390509	231802355	268	Unifying Vision-and-Language Tasks via Text Generation
reference	256390509	230435588	111	VinVL: Making Visual Representations Matter in Vision-Language Models
reference	256390509	218971783	11544	Language Models are Few-Shot Learners
reference	256390509	215754208	1103	Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks
reference	256390509	216080982	1211	UNITER: UNiversal Image-TExt Representation Learning
