query	55 references	57 citations	Visual Instruction Tuning
reference	258179774	257985497	55	Instruction Tuning with GPT-4
reference	258179774	257771811	35	LLaMA-Adapter: Efficient Fine-tuning of Language Models with Zero-init Attention
reference	258179774	257766307	56	ChatGPT Outperforms Crowd-Workers for Text-Annotation Tasks
reference	258179774	257637012	47	MM-REACT: Prompting ChatGPT for Multimodal Reasoning and Action
reference	258179774	257532815	366	GPT-4 Technical Report
reference	258179774	257505077	4	A Simple Framework for Open-Vocabulary Segmentation and Detection
reference	258179774	257427307	52	Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection
reference	258179774	257404891	105	Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models
reference	258179774	257364842	119	PaLM-E: An Embodied Multimodal Language Model
reference	258179774	257219404	637	LLaMA: Open and Efficient Foundation Language Models
reference	258179774	257219775	63	Language Is Not All You Need: Aligning Perception with Language Models
reference	258179774	256504063	36	Multimodal Chain-of-Thought Reasoning in Language Models
reference	258179774	256390509	223	BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models
reference	258179774	255942528	46	GLIGEN: Open-Set Grounded Text-to-Image Generation
reference	258179774	255096269	56	OPT-IML: Scaling Language Model Instruction Meta Learning through the Lens of Generalization
reference	258179774	254877310	158	Self-Instruct: Aligning Language Model with Self Generated Instructions
reference	258179774	253581213	146	InstructPix2Pix: Learning to Follow Image Editing Instructions
reference	258179774	253018554	286	Scaling Instruction-Finetuned Language Models
reference	258179774	252917726	411	LAION-5B: An open large-scale dataset for training next generation image-text models
reference	258179774	252383606	54	Learn to Explain: Multimodal Reasoning via Thought Chains for Science Question Answering
reference	258179774	249926846	334	Scaling Autoregressive Models for Content-Rich Text-to-Image Generation
reference	258179774	249152323	106	GIT: A Generative Image-to-text Transformer for Vision and Language
reference	258179774	248986576	1206	Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding
reference	258179774	248496292	694	OPT: Open Pre-trained Transformer Language Models
reference	258179774	248476411	583	Flamingo: a Visual Language Model for Few-Shot Learning
reference	258179774	248239757	38	ELEVATER: A Benchmark and Toolkit for Evaluating Language-Augmented Visual Models
reference	258179774	248097655	1747	Hierarchical Text-Conditional Image Generation with CLIP Latents
