bin hours GBs
000 0.0703 4.73
001 0.21325 10.80
002 0.254239 17.14
003 0.414256 25.60
004 0.487728 30.72
006 0.835056 51.66
007 1.07811 60.55
008 1.26304 71.39
009 1.4722 82.80
010 1.37268 97.38
011 1.93793 106.94
012 1.63046 123.12
013 1.3354 135.09
014 1.46287 140.50
015 2.03011 157.74
016 2.9785 172.40
017 2.97303 185.26
018 3.05131 194.86
019 2.66643 203.51
020 2.42509 221.24
021 9.03517 236.77
022 9.2165 249.81
023 10.1521 262.88
024 10.3259 274.51
025 11.2236 289.18
026 11.4941 302.52
027 9.26469 315.87
030 4.40448 336.74
031 4.48118 360.64
032 4.27237 350.61
033 4.71994 380.26
034 4.84364 382.52
035 5.25739 399.18
036 5.35718 409.63
040 9.53029 483.54
041 6.46704 478.25
042 16.8902 509.61
043 17.8704 522.71
044 18.249 539.76
045 18.6488 552.54
046 19.201 565.96
050 17.2881 601.28
051 25.2546 630.18
052 26.083 644.35
053 19.0777 658.72
054 19.9988 672.66
055 21.032 686.01
061 28.3959 771.14
062 28.6036 785.61
063 29.2143 799.44
065 38.1194 823.87
066 39.0896 838.46
067 27.6751 852.03
068 30.6034 899.27
069 31.4127 914.87
070 26.1055 917.08
073 33.0891 963.11
074 35.8416 983.87
075 35.2584 1000.72
076 36.5399 1010.88
077 52.5364 1022.61
078 36.3983 1020
079 38.1501 1040
092 56.2537 1280
096 47.8682 1340
098 60.996 1390
